observed 45 adds, metrics/trades/full equity identical
2026-03-23 300502 slow 4800 900 284.24 303.46 92279 {'symbol': '300502', 'strategy_name': 'slow:turtle_breakout', 'direction': 'sell', 'shares': 5700, 'price': 391.31829, 'date': '2026-04-27', 'reason': 'Donchian exit@403.57', 'pnl': 473476.46276700054, 'pnl_pct': 0.2697310750269331, 'signal_date': '2026-04-24', 'gross_value': 2230514.253, 'commission': 557.6285632500001, 'stamp_duty_cost': 1115.2571265000001, 'net_cash_flow': 2228841.36731025, 'cash_after': 2238273.030706084, 'peak_close': 444.08, 'exit_from_peak_pct': -0.11881127274364978}
2026-03-23 300502 base 3800 700 284.24 303.46 73054 {'symbol': '300502', 'strategy_name': 'base:turtle_breakout', 'direction': 'sell', 'shares': 4500, 'price': 391.31829, 'date': '2026-04-27', 'reason': 'Donchian exit@403.57', 'pnl': 374016.42855500034, 'pnl_pct': 0.26993196476507914, 'signal_date': '2026-04-24', 'gross_value': 1760932.305, 'commission': 440.23307625, 'stamp_duty_cost': 880.4661525, 'net_cash_flow': 1759611.60577125, 'cash_after': 1769043.2691670838, 'peak_close': 444.08, 'exit_from_peak_pct': -0.11881127274364978}
2026-02-02 300394 slow 2500 700 145.18 166.7 53795 {'symbol': '300394', 'strategy_name': 'slow:turtle_breakout', 'direction': 'sell', 'shares': 600, 'price': 179.3205, 'date': '2026-02-03', 'reason': 'account_budget_trim', 'pnl': 11952.532227562522, 'pnl_pct': 0.12508003461993633, 'signal_date': '2026-02-02', 'gross_value': 107592.3, 'commission': 26.898075000000002, 'stamp_duty_cost': 53.796150000000004, 'net_cash_flow': 107511.605775, 'cash_after': 1563744.1019820839, 'peak_close': 178.08790999999997, 'exit_from_peak_pct': 0.006921244681910466}
2026-02-02 300394 base 2400 600 145.18 166.7 51643 {'symbol': '300394', 'strategy_name': 'base:turtle_breakout', 'direction': 'sell', 'shares': 600, 'price': 179.3205, 'date': '2026-02-03', 'reason': 'account_budget_trim', 'pnl': 12224.2214829, 'pnl_pct': 0.12828793206692604, 'signal_date': '2026-02-02', 'gross_value': 107592.3, 'commission': 26.898075000000002, 'stamp_duty_cost': 53.796150000000004, 'net_cash_flow': 107511.605775, 'cash_after': 1447584.9718688326, 'peak_close': 178.08790999999997, 'exit_from_peak_pct': 0.006921244681910466}
2025-12-09 300502 slow 2100 300 249.76 271.96 46616 {'symbol': '300502', 'strategy_name': 'slow:turtle_breakout', 'direction': 'sell', 'shares': 2600, 'price': 290.78891999999996, 'date': '2025-12-17', 'reason': 'Donchian exit@292.14', 'pnl': 50787.206401750096, 'pnl_pct': 0.07206957061931177, 'signal_date': '2025-12-16', 'gross_value': 756051.1919999999, 'commission': 189.01279799999998, 'stamp_duty_cost': 378.02559599999995, 'net_cash_flow': 755484.1536059999, 'cash_after': 2543319.307778334, 'peak_close': 308.04, 'exit_from_peak_pct': -0.05600272691858221}
2026-02-02 300394 fast 2100 600 145.18 166.7 45188 {'symbol': '300394', 'strategy_name': 'fast:turtle_breakout', 'direction': 'sell', 'shares': 500, 'price': 179.3205, 'date': '2026-02-03', 'reason': 'account_budget_trim', 'pnl': 9918.516168750008, 'pnl_pct': 0.12448798025047705, 'signal_date': '2026-02-02', 'gross_value': 89660.25, 'commission': 22.4150625, 'stamp_duty_cost': 44.830125, 'net_cash_flow': 89593.0048125, 'cash_after': 1313081.9730865834, 'peak_close': 178.08790999999997, 'exit_from_peak_pct': 0.006921244681910466}
2026-03-23 300502 fast 2300 500 284.24 303.46 44217 {'symbol': '300502', 'strategy_name': 'fast:turtle_breakout', 'direction': 'sell', 'shares': 2800, 'price': 391.31829, 'date': '2026-04-27', 'reason': 'Donchian exit@403.57', 'pnl': 231379.21298800013, 'pnl_pct': 0.26795811323357, 'signal_date': '2026-04-24', 'gross_value': 1095691.212, 'commission': 273.92280300000004, 'stamp_duty_cost': 547.8456060000001, 'net_cash_flow': 1094869.443591, 'cash_after': 1104301.1069868337, 'peak_close': 444.08, 'exit_from_peak_pct': -0.11881127274364978}
2025-12-09 300502 base 1700 200 249.76 271.96 37737 {'symbol': '300502', 'strategy_name': 'base:turtle_breakout', 'direction': 'sell', 'shares': 2100, 'price': 290.78891999999996, 'date': '2025-12-17', 'reason': 'Donchian exit@292.14', 'pnl': 40459.312194, 'pnl_pct': 0.07101371303859137, 'signal_date': '2025-12-16', 'gross_value': 610656.732, 'commission': 152.66418299999998, 'stamp_duty_cost': 305.32836599999996, 'net_cash_flow': 610198.739451, 'cash_after': 2417793.9749293327, 'peak_close': 308.04, 'exit_from_peak_pct': -0.05600272691858221}
2025-12-11 300502 slow 2400 200 271.96 287.65 37655 {'symbol': '300502', 'strategy_name': 'slow:turtle_breakout', 'direction': 'sell', 'shares': 2600, 'price': 290.78891999999996, 'date': '2025-12-17', 'reason': 'Donchian exit@292.14', 'pnl': 50787.206401750096, 'pnl_pct': 0.07206957061931177, 'signal_date': '2025-12-16', 'gross_value': 756051.1919999999, 'commission': 189.01279799999998, 'stamp_duty_cost': 378.02559599999995, 'net_cash_flow': 755484.1536059999, 'cash_after': 2543319.307778334, 'peak_close': 308.04, 'exit_from_peak_pct': -0.05600272691858221}
2025-10-27 300308 slow 500 500 404.44 469.56 32556 {'symbol': '300308', 'strategy_name': 'slow:turtle_breakout', 'direction': 'sell', 'shares': 1000, 'price': 469.20033, 'date': '2025-11-03', 'reason': 'Donchian exit@500.00', 'pnl': -772.9812562498846, 'pnl_pct': -0.0016459668109882718, 'signal_date': '2025-10-31', 'gross_value': 469200.33, 'commission': 117.3000825, 'stamp_duty_cost': 234.600165, 'net_cash_flow': 468848.42975250003, 'cash_after': 2548046.3597966665, 'peak_close': 519.72, 'exit_from_peak_pct': -0.09720555299007161}
2025-07-08 300502 fast 4000 300 77.57 85.54 31886 {'symbol': '300502', 'strategy_name': 'fast:turtle_breakout', 'direction': 'sell', 'shares': 1400, 'price': 252.60714000000002, 'date': '2025-09-03', 'reason': 'account_budget_trim', 'pnl': 255260.60406073258, 'pnl_pct': 2.6014043688999977, 'signal_date': '2025-09-02', 'gross_value': 353649.99600000004, 'commission': 88.41249900000001, 'stamp_duty_cost': 176.82499800000002, 'net_cash_flow': 353384.758503, 'cash_after': 483159.0779494169, 'peak_close': 276.79, 'exit_from_peak_pct': -0.08736898009321148}
2025-12-11 300502 base 1900 200 271.96 287.65 29810 {'symbol': '300502', 'strategy_name': 'base:turtle_breakout', 'direction': 'sell', 'shares': 2100, 'price': 290.78891999999996, 'date': '2025-12-17', 'reason': 'Donchian exit@292.14', 'pnl': 40459.312194, 'pnl_pct': 0.07101371303859137, 'signal_date': '2025-12-16', 'gross_value': 610656.732, 'commission': 152.66418299999998, 'stamp_duty_cost': 305.32836599999996, 'net_cash_flow': 610198.739451, 'cash_after': 2417793.9749293327, 'peak_close': 308.04, 'exit_from_peak_pct': -0.05600272691858221}
