date,open,high,low,close,volume
2024-01-02,104.93,106.92,100.58,101.27,3149600.0
2024-01-03,102.63,104.88,98.51,104.39,4040900.0
2024-01-04,104.04,104.04,100.45,100.6,1486800.0
2024-01-05,99.88,100.79,94.19,95.06,1737300.0
2024-01-08,94.96,94.96,90.24,91.11,1465400.0
2024-01-09,92.3,100.16,92.3,97.32,3297700.0
2024-01-10,97.32,100.71,94.38,95.61,2524900.0
2024-01-11,95.03,105.07,94.58,103.34,4942400.0
2024-01-12,102.65,102.93,97.13,98.37,2933500.0
2024-01-15,97.82,102.84,95.41,100.58,2612600.0
2024-01-16,100.35,100.35,93.68,97.62,2843200.0
2024-01-17,97.13,97.13,90.92,91.89,1788800.0
2024-01-18,89.48,102.57,89.33,100.62,4778800.0
2024-01-19,99.29,102.0,94.87,94.99,3057000.0
2024-01-22,97.13,100.25,92.58,93.87,2937300.0
2024-01-23,93.68,101.19,92.3,98.82,4043400.0
2024-01-24,99.2,99.82,92.37,96.83,3239300.0
2024-01-25,96.72,100.58,94.29,98.42,2771800.0
2024-01-26,96.86,99.2,94.53,95.75,2131300.0
2024-01-29,94.37,94.72,77.2,77.93,3839600.0
2024-01-30,77.2,78.47,69.52,69.97,4445600.0
2024-01-31,67.97,70.21,65.38,65.43,3043300.0
2024-02-01,65.72,73.45,65.25,70.66,3947700.0
2024-02-02,70.6,71.51,63.65,66.27,2742100.0
2024-02-05,64.0,65.38,56.77,58.46,3473100.0
2024-02-06,56.93,63.48,54.68,63.02,3653400.0
2024-02-07,63.02,67.03,59.85,60.03,3335900.0
2024-02-08,62.66,71.59,61.22,68.14,4040100.0
2024-02-19,71.94,81.94,70.55,81.94,5622600.0
2024-02-20,88.61,94.78,85.42,88.61,8076800.0
2024-02-21,85.01,88.72,84.02,86.09,4439500.0
2024-02-22,90.92,92.98,86.09,88.16,4436000.0
2024-02-23,90.7,92.92,87.47,91.55,5713400.0
2024-02-26,90.5,102.45,88.85,96.06,5259000.0
2024-02-27,94.63,101.27,92.3,99.89,5222900.0
2024-02-28,97.55,106.02,93.68,94.09,5585700.0
2024-02-29,92.3,100.5,92.3,98.16,4604300.0
2024-03-01,99.22,111.55,99.22,108.18,6247700.0
2024-03-04,109.56,119.08,106.02,113.35,6211300.0
2024-03-05,109.9,120.43,106.73,108.41,6277800.0
2024-03-06,107.94,113.71,105.42,110.93,3914500.0
2024-03-07,108.52,111.14,102.1,102.1,4616100.0
2024-03-08,104.73,107.25,101.69,105.42,4023700.0
2024-03-11,99.96,108.18,98.15,105.79,5143400.0
2024-03-12,105.09,106.48,100.59,102.79,3090300.0
2024-03-13,105.52,106.11,100.58,101.31,3633400.0
2024-03-14,98.43,104.73,98.43,101.69,4060300.0
2024-03-15,100.58,112.01,98.51,110.94,5451900.0
2024-03-18,108.87,117.76,108.79,113.0,5124500.0
2024-03-19,110.27,117.84,107.49,114.0,5135300.0
2024-03-20,112.47,118.32,111.75,113.95,3909000.0
2024-03-21,113.01,116.38,111.63,113.52,3001500.0
2024-03-22,111.9,114.67,104.04,107.07,5210200.0
2024-03-25,105.42,105.71,97.82,98.87,5149800.0
2024-03-26,98.51,100.56,89.66,91.4,4990100.0
2024-03-27,91.39,91.58,82.9,83.44,4681100.0
2024-03-28,83.39,88.57,82.29,87.55,3801300.0
2024-03-29,86.42,87.45,83.95,85.4,2609800.0
2024-04-01,86.09,88.16,84.15,86.17,3584900.0
2024-04-02,86.78,86.78,81.25,82.01,3037000.0
2024-04-03,81.25,82.5,77.88,79.06,2236100.0
2024-04-08,79.06,83.29,78.15,81.45,3219800.0
2024-04-09,79.9,81.79,77.32,79.07,2876300.0
2024-04-10,78.85,79.17,76.44,78.78,2419300.0
2024-04-11,79.39,85.37,78.78,82.57,4235400.0
2024-04-12,84.76,88.16,82.64,85.4,4239600.0
2024-04-15,84.22,89.73,84.14,87.83,4653800.0
2024-04-16,86.29,87.67,82.64,83.46,2655600.0
2024-04-17,84.24,97.53,84.24,97.47,5952000.0
2024-04-18,94.37,99.06,93.07,95.29,3733100.0
2024-04-19,95.74,97.59,90.39,92.35,2656300.0
2024-04-22,85.53,91.53,82.08,90.57,2870500.0
2024-04-23,92.3,93.8,89.61,90.28,2923600.0
2024-04-24,91.26,98.51,90.33,96.85,4175900.0
2024-04-25,95.34,97.05,94.37,95.9,2150400.0
2024-04-26,101.83,109.68,100.93,105.8,6782900.0
2024-04-29,106.06,110.8,100.98,102.17,5012400.0
2024-04-30,102.17,106.51,102.17,104.55,3668600.0
2024-05-06,104.04,104.86,99.89,100.57,3612900.0
2024-05-07,101.27,102.48,95.79,96.66,3313900.0
2024-05-08,95.19,98.4,94.77,96.1,1910400.0
2024-05-09,95.49,100.1,95.16,99.35,2283000.0
2024-05-10,97.84,99.89,94.16,94.99,2683900.0
2024-05-13,94.37,97.55,93.76,96.3,2031600.0
2024-05-14,96.44,97.13,87.95,88.16,3648100.0
2024-05-15,88.61,90.77,87.47,88.63,1857100.0
2024-05-16,90.4,96.09,90.1,92.45,3447400.0
2024-05-17,92.98,92.98,89.93,92.3,2112400.0
2024-05-20,91.26,102.3,89.08,101.38,5089900.0
2024-05-21,100.58,101.96,98.29,100.13,2596900.0
2024-05-22,99.06,100.56,97.22,100.08,1993400.0
2024-05-23,101.27,101.65,96.29,98.27,2468900.0
2024-05-24,97.83,99.91,91.15,91.57,3049500.0
2024-05-27,92.76,93.6,89.55,93.29,1712500.0
2024-05-28,92.06,94.69,90.7,90.91,1546400.0
2024-05-29,90.92,92.85,89.54,90.92,1467800.0
2024-05-30,89.54,90.91,87.67,89.19,1763000.0
2024-05-31,88.16,91.64,87.47,88.72,1741500.0
2024-06-03,90.23,94.98,89.32,92.29,3225000.0
2024-06-04,91.35,93.69,91.35,92.02,1768000.0
2024-06-05,91.25,92.99,90.3,90.37,1264900.0
2024-06-06,91.61,94.37,90.23,90.47,2273300.0
2024-06-07,91.61,91.81,83.66,84.96,2573500.0
2024-06-11,84.71,86.99,84.02,86.71,1693500.0
2024-06-12,85.85,88.81,85.82,87.81,1806400.0
2024-06-13,88.84,94.51,88.16,91.75,3953100.0
2024-06-14,91.61,98.91,91.2,95.4,6094100.0
2024-06-17,97.54,99.88,96.1,97.85,3950200.0
2024-06-18,98.04,102.6,97.35,98.86,3079400.0
2024-06-19,99.11,99.25,93.37,96.0,3082000.0
2024-06-20,95.03,108.87,94.44,102.63,5828200.0
