date,open,high,low,close,volume,amount
2022-01-04,4957.98,4961.45,4874.53,4917.77,15153477600.0,336516960256.0
2022-01-05,4907.93,4916.28,4851.98,4868.12,17881610000.0,363944529920.0
2022-01-06,4842.16,4857.56,4786.43,4818.23,15766582500.0,321750077440.0
2022-01-07,4824.32,4856.65,4818.19,4822.37,18713941200.0,332218949632.0
2022-01-10,4812.23,4844.39,4780.82,4844.05,15621169700.0,305033818112.0
2022-01-11,4840.01,4850.88,4791.89,4797.77,14692800500.0,286445756416.0
2022-01-12,4818.89,4852.73,4810.92,4845.58,14320020500.0,293153042432.0
2022-01-13,4853.03,4853.06,4765.24,4765.92,14251965200.0,288799117312.0
2022-01-14,4743.91,4764.05,4723.94,4726.73,14686312700.0,281828450304.0
2022-01-17,4728.76,4775.24,4726.71,4767.28,11529569000.0,263788240896.0
2022-01-18,4766.78,4826.3,4747.92,4813.35,15087080200.0,282749394944.0
2022-01-19,4815.81,4828.75,4755.93,4780.38,13392736000.0,275534557184.0
2022-01-20,4778.26,4845.0,4777.57,4823.51,16497131500.0,304344268800.0
2022-01-21,4808.77,4818.31,4762.56,4779.31,13895258600.0,274699153408.0
2022-01-24,4753.94,4801.1,4746.45,4786.74,11446388000.0,246261596160.0
2022-01-25,4761.95,4781.39,4678.25,4678.45,13366758700.0,250555768832.0
2022-01-26,4697.1,4718.99,4648.13,4712.31,10707084300.0,226553450496.0
2022-01-27,4708.1,4708.44,4616.03,4619.88,12126380300.0,250535653376.0
2022-01-28,4641.81,4660.52,4559.83,4563.77,12648011300.0,263967891456.0
2022-02-07,4638.58,4672.65,4615.01,4634.09,14484972000.0,266031792128.0
2022-02-08,4626.44,4626.44,4522.47,4608.77,15583070700.0,281364873216.0
2022-02-09,4608.15,4659.46,4595.28,4652.06,14833554700.0,273771962368.0
2022-02-10,4657.21,4657.21,4608.09,4639.86,15157666600.0,287224389632.0
2022-02-11,4617.87,4662.6,4595.88,4601.4,15597458400.0,307938017280.0
2022-02-14,4579.42,4593.63,4530.06,4551.69,14367389400.0,275737554944.0
2022-02-15,4553.81,4601.45,4550.54,4600.1,11502560000.0,249977008128.0
2022-02-16,4619.85,4643.1,4607.22,4617.99,10725895400.0,210190929920.0
2022-02-17,4616.9,4650.16,4606.95,4629.16,11001464300.0,227946250240.0
2022-02-18,4604.57,4651.34,4598.1,4651.24,10455022800.0,195825700864.0
2022-02-21,4646.05,4646.67,4613.3,4634.31,11251651300.0,215039180800.0
2022-02-22,4601.92,4602.07,4550.8,4574.15,12331723800.0,246872961024.0
2022-02-23,4582.01,4625.3,4579.29,4623.05,12295291600.0,259050147840.0
2022-02-24,4592.07,4610.88,4488.48,4529.32,18440305900.0,342346665984.0
2022-02-25,4564.63,4611.86,4561.9,4573.42,14972258300.0,271727599616.0
2022-02-28,4563.74,4581.65,4530.68,4581.65,13540697900.0,248363728896.0
2022-03-01,4597.86,4623.43,4583.92,4619.69,12313922000.0,260431183872.0
2022-03-02,4594.02,4594.02,4558.44,4578.6,11329832400.0,215299653632.0
2022-03-03,4595.02,4599.4,4544.43,4551.63,13828587800.0,242701770752.0
2022-03-04,4513.36,4539.39,4481.49,4496.43,12726680600.0,249970282496.0
2022-03-07,4462.52,4462.52,4338.3,4352.78,16219770600.0,306898526208.0
2022-03-08,4361.64,4383.65,4252.54,4265.39,16786327800.0,315176697856.0
2022-03-09,4280.98,4304.48,4068.19,4226.35,19423290100.0,341009391616.0
2022-03-10,4326.2,4335.67,4288.51,4292.84,14526638300.0,301636182016.0
2022-03-11,4231.2,4316.04,4176.45,4306.52,15239992100.0,295008833536.0
2022-03-14,4248.15,4280.36,4174.76,4174.76,13018723600.0,260691660800.0
2022-03-15,4125.49,4163.42,3983.81,3983.81,20252470000.0,346988949504.0
2022-03-16,4053.1,4168.59,3942.86,4156.08,19602198300.0,378883588096.0
2022-03-17,4237.67,4302.74,4217.8,4237.7,17940734500.0,385039196160.0
2022-03-18,4218.47,4283.37,4194.94,4265.9,14945830400.0,275791290368.0
2022-03-21,4280.14,4287.82,4223.02,4258.75,12703636000.0,251214544896.0
2022-03-22,4252.57,4283.33,4236.69,4255.3,12638246900.0,226213535744.0
2022-03-23,4269.61,4287.58,4241.96,4276.52,11708907800.0,226390777856.0
2022-03-24,4249.53,4273.96,4216.85,4251.31,10891827200.0,219594432512.0
2022-03-25,4249.07,4254.84,4173.93,4174.57,10880804600.0,217013186560.0
2022-03-28,4128.84,4174.12,4091.3,4148.47,11844902100.0,213468975104.0
2022-03-29,4155.42,4177.21,4124.72,4134.14,10026697200.0,199463854080.0
2022-03-30,4162.17,4254.1,4160.74,4254.1,13834602500.0,268869181440.0
2022-03-31,4234.72,4247.36,4214.54,4222.6,13402918400.0,238877216768.0
2022-04-01,4198.82,4290.67,4190.08,4276.16,13380305400.0,244758872064.0
2022-04-06,4258.83,4277.52,4236.73,4263.84,15906219500.0,253690929152.0
2022-04-07,4240.02,4278.11,4205.74,4209.1,13488035300.0,216996184064.0
2022-04-08,4213.21,4237.81,4175.53,4230.77,14284379400.0,229081763840.0
2022-04-11,4203.79,4203.79,4089.09,4100.07,14819707100.0,265224933376.0
2022-04-12,4102.97,4179.97,4075.8,4179.97,14428568300.0,252830412800.0
2022-04-13,4154.41,4194.04,4139.74,4139.74,12509749000.0,221281030144.0
2022-04-14,4172.64,4217.06,4155.55,4191.57,12479131600.0,245993820160.0
2022-04-15,4162.37,4211.32,4152.97,4188.75,12476226300.0,226229739520.0
2022-04-18,4152.93,4171.74,4119.99,4166.38,11750460900.0,212855328768.0
2022-04-19,4161.93,4186.94,4115.42,4134.9,11021747200.0,208570580992.0
2022-04-20,4130.54,4136.17,4060.5,4070.79,11733165800.0,216536637440.0
2022-04-21,4048.73,4086.44,3978.37,3995.83,13278382800.0,227026681856.0
2022-04-22,3967.2,4037.08,3953.72,4013.25,12210181100.0,206371766272.0
2022-04-25,3933.45,3958.21,3814.91,3814.91,16836450300.0,272889274368.0
2022-04-26,3822.49,3871.85,3773.9,3784.12,15757761000.0,259626352640.0
2022-04-27,3758.08,3895.73,3757.09,3895.54,17273404700.0,296924102656.0
2022-04-28,3883.42,3943.43,3873.58,3921.11,15305658600.0,268502241280.0
2022-04-29,3939.62,4017.43,3898.57,4016.24,17945837800.0,321414877184.0
2022-05-05,3995.35,4039.7,3988.93,4010.21,15417071600.0,290538229760.0
2022-05-06,3928.85,3947.24,3902.05,3908.82,12300555000.0,214825172992.0
2022-05-09,3883.95,3914.11,3854.94,3877.44,9293669400.0,171756503040.0
2022-05-10,3820.63,3932.68,3808.57,3919.87,13641691900.0,239060213760.0
2022-05-11,3917.93,4033.3,3916.52,3976.42,16563225600.0,309294911488.0
2022-05-12,3949.95,3985.93,3935.59,3958.74,11337606700.0,202029158400.0
2022-05-13,3983.82,4003.85,3957.14,3988.6,10996835600.0,195727044608.0
2022-05-16,4015.0,4018.03,3947.75,3956.54,11242529500.0,199717908480.0
2022-05-17,3961.76,4005.89,3955.1,4005.89,10966145500.0,210117537792.0
2022-05-18,4015.01,4017.34,3964.75,3991.91,10807423200.0,201800667136.0
2022-05-19,3938.3,3999.6,3933.75,3999.6,11629342000.0,210206683136.0
2022-05-20,4020.82,4077.6,4020.82,4077.6,14706917400.0,265609089024.0
2022-05-23,4080.97,4080.97,4029.08,4053.98,13047781100.0,225981542400.0
2022-05-24,4052.87,4055.78,3959.15,3959.15,14555433700.0,247713038336.0
2022-05-25,3959.77,3983.62,3946.81,3983.18,10773401600.0,188700536832.0
2022-05-26,3987.68,4015.75,3938.24,3993.04,12626369000.0,216987025408.0
2022-05-27,4022.71,4051.14,3983.38,4001.3,11276933600.0,206944428032.0
2022-05-30,4020.86,4040.82,4003.38,4029.02,11115224100.0,211144720384.0
2022-05-31,4031.76,4096.2,4020.38,4091.52,13541551400.0,267770089472.0
2022-06-01,4086.62,4094.9,4058.85,4083.18,11485088000.0,225416237056.0
2022-06-02,4064.0,4091.15,4057.91,4089.57,11389363700.0,222657536000.0
2022-06-06,4090.53,4166.62,4063.91,4166.09,16787101200.0,324075626496.0
2022-06-07,4165.69,4198.09,4155.17,4179.13,14299288100.0,285733724160.0
2022-06-08,4187.15,4224.81,4158.03,4219.81,15737405700.0,319480254464.0
2022-06-09,4211.72,4227.45,4160.88,4175.67,16844915500.0,285172805632.0
2022-06-10,4145.65,4241.35,4140.22,4238.99,18479621400.0,324091441152.0
2022-06-13,4194.46,4218.23,4156.71,4189.35,16847562200.0,336585670656.0
2022-06-14,4143.22,4224.09,4102.93,4222.31,17138590500.0,335418556416.0
2022-06-15,4228.29,4348.42,4228.29,4278.22,25704658900.0,459766820864.0
2022-06-16,4282.08,4302.92,4241.08,4250.06,18407441700.0,337235910656.0
2022-06-17,4219.23,4318.77,4218.68,4309.04,15864909800.0,346675728384.0
2022-06-20,4322.83,4368.36,4297.89,4330.43,16566638300.0,359569297408.0
2022-06-21,4327.92,4357.34,4287.14,4325.57,16466761500.0,317163319296.0
2022-06-22,4331.9,4333.18,4269.25,4270.62,15856585500.0,298656264192.0
2022-06-23,4277.96,4343.88,4260.9,4343.88,17088236000.0,327144779776.0
2022-06-24,4354.55,4400.69,4346.12,4394.77,16897219800.0,356054749184.0
2022-06-27,4414.33,4472.69,4414.33,4444.26,17738567700.0,381432967168.0
2022-06-28,4442.58,4497.89,4407.35,4490.52,17475649000.0,361685970944.0
2022-06-29,4472.73,4503.13,4414.0,4421.36,18727668700.0,395926106112.0
2022-06-30,4418.07,4515.0,4418.07,4485.01,15666628900.0,354343886848.0
2022-07-01,4489.52,4500.99,4449.29,4466.72,14477959900.0,318492131328.0
2022-07-04,4447.22,4496.03,4427.82,4496.03,14634565100.0,356968521728.0
2022-07-05,4505.46,4530.32,4439.45,4489.54,15496241400.0,361891852288.0
2022-07-06,4475.48,4484.36,4393.42,4423.97,14980023600.0,344672706560.0
