date,open,high,low,close,volume
2022-01-04,24.22,24.41,23.53,23.6,950640000.0
2022-01-05,23.73,23.87,21.77,22.29,2895490000.0
2022-01-06,22.29,22.92,21.94,22.18,1066250000.0
2022-01-07,22.28,22.37,21.63,21.73,933700000.0
2022-01-10,21.61,23.01,21.54,22.73,1383580000.0
2022-01-11,22.91,22.92,21.31,21.47,1400310000.0
2022-01-12,21.44,22.17,21.44,22.05,1018690000.0
2022-01-13,22.04,22.27,21.35,21.78,911530000.0
2022-01-14,21.65,22.9,21.63,22.33,1100330000.0
2022-01-17,22.28,23.57,22.13,23.26,1626140000.0
2022-01-18,23.18,24.0,23.05,23.61,1220450000.0
2022-01-19,23.23,23.42,21.83,22.01,1786080000.0
2022-01-20,21.98,22.13,21.23,21.37,1189520000.0
2022-01-21,21.33,21.59,20.78,21.17,933170000.0
2022-01-24,21.41,21.58,20.81,21.05,849200000.0
2022-01-25,20.94,21.43,20.45,20.75,1195490000.0
2022-01-26,20.91,21.28,20.5,21.09,732970000.0
2022-01-27,21.16,21.47,20.58,20.58,664830000.0
2022-01-28,20.77,20.88,20.38,20.54,712520000.0
2022-02-07,20.81,21.11,20.27,20.37,647450000.0
2022-02-08,20.42,20.59,19.49,20.38,1259010000.0
2022-02-09,20.47,21.05,20.1,20.92,647320000.0
2022-02-10,20.98,21.01,20.11,20.27,1030520000.0
2022-02-11,20.37,20.37,19.32,19.58,1612270000.0
2022-02-14,19.34,19.97,19.01,19.18,924740000.0
2022-02-15,19.27,20.31,19.2,20.24,1214120000.0
2022-02-16,20.4,20.43,19.68,19.77,644330000.0
2022-02-17,19.72,20.24,19.66,20.01,734710000.0
2022-02-18,19.95,20.13,19.69,19.82,653620000.0
2022-02-21,19.92,20.3,19.76,20.27,736130000.0
2022-02-22,20.13,20.46,19.63,20.41,898180000.0
2022-02-23,20.38,21.7,20.23,21.22,1682300000.0
2022-02-24,21.0,21.61,20.51,21.01,1471740000.0
2022-02-25,21.44,21.86,20.94,21.16,1207170000.0
2022-02-28,20.97,21.48,20.73,21.43,892770000.0
2022-03-01,21.53,21.58,20.87,21.19,724060000.0
2022-03-02,20.99,21.28,20.86,21.11,630840000.0
2022-03-03,21.13,21.22,20.68,20.81,576740000.0
2022-03-04,20.61,21.18,20.46,20.79,819770000.0
2022-03-07,20.77,20.77,19.62,19.88,1371910000.0
2022-03-08,19.81,20.7,19.39,20.05,1329830000.0
2022-03-09,20.36,20.73,19.2,20.07,1362810000.0
2022-03-10,20.93,21.65,20.57,21.13,3384500000.0
2022-03-11,20.87,20.93,19.73,20.7,2067770000.0
2022-03-14,20.32,20.78,20.16,20.2,825730000.0
2022-03-15,19.91,20.33,19.33,19.51,1638990000.0
2022-03-16,19.88,20.28,18.53,20.03,1977740000.0
2022-03-17,20.42,21.52,20.33,20.65,2199870000.0
2022-03-18,20.68,20.98,20.45,20.76,764720000.0
2022-03-21,20.88,20.88,20.36,20.53,898640000.0
2022-03-22,20.69,20.78,19.89,20.01,1109030000.0
2022-03-23,20.15,20.63,19.67,20.37,1100670000.0
2022-03-24,20.23,20.46,19.71,20.28,786180000.0
2022-03-25,20.43,20.85,19.79,19.88,885530000.0
2022-03-28,19.67,20.09,19.29,19.83,689410000.0
2022-03-29,19.82,20.02,19.41,19.62,482980000.0
2022-03-30,19.53,20.24,19.53,20.14,928940000.0
2022-03-31,20.02,20.18,19.4,19.66,859280000.0
2022-04-01,19.53,20.06,19.29,19.89,783190000.0
2022-04-06,19.68,19.84,19.53,19.75,386450000.0
2022-04-07,19.68,19.88,19.45,19.47,427670000.0
2022-04-08,19.53,19.76,18.81,19.57,1065250000.0
2022-04-11,19.43,19.43,18.31,18.38,1208590000.0
2022-04-12,18.23,18.53,17.53,18.42,988810000.0
2022-04-13,18.33,18.33,17.35,17.91,956230000.0
2022-04-14,17.75,18.46,17.71,17.98,655880000.0
2022-04-15,17.63,18.53,17.6,17.9,937430000.0
2022-04-18,17.75,18.09,17.15,18.03,856810000.0
2022-04-19,18.22,18.28,17.84,17.98,677430000.0
2022-04-20,17.98,18.03,17.13,17.23,1218770000.0
2022-04-21,17.23,17.79,16.63,16.7,997820000.0
2022-04-22,16.76,16.76,15.71,16.1,1458180000.0
2022-04-25,16.14,16.17,14.98,15.14,1430590000.0
2022-04-26,15.18,15.57,14.78,15.14,1370360000.0
2022-04-27,15.13,16.36,14.72,16.07,1470520000.0
2022-04-28,15.94,16.3,15.46,15.74,891870000.0
2022-04-29,15.95,16.38,15.64,16.25,1244320000.0
2022-05-05,16.28,16.83,16.03,16.48,918590000.0
2022-05-06,16.03,16.85,15.9,16.49,812630000.0
2022-05-09,16.52,16.89,16.31,16.57,495020000.0
2022-05-10,16.56,17.67,16.38,17.49,1189800000.0
2022-05-11,17.49,18.05,17.23,17.75,1312530000.0
2022-05-12,17.52,18.03,17.48,17.87,799630000.0
2022-05-13,17.87,18.07,17.46,17.63,946310000.0
2022-05-16,17.58,17.82,17.21,17.42,737770000.0
2022-05-17,17.66,18.21,17.11,17.99,1106840000.0
2022-05-18,17.92,18.46,17.8,18.27,752900000.0
2022-05-19,18.12,19.43,17.98,19.0,1121900000.0
2022-05-20,19.04,19.39,18.94,19.11,527280000.0
2022-05-23,19.38,19.38,18.74,19.07,675790000.0
2022-05-24,18.93,19.11,17.94,18.07,907100000.0
2022-05-25,18.07,18.52,17.91,18.25,714610000.0
2022-05-26,18.24,18.32,17.67,18.2,905690000.0
2022-05-27,18.31,18.81,17.95,18.13,570180000.0
2022-05-30,18.27,18.46,17.89,18.37,495230000.0
2022-05-31,18.47,18.76,18.03,18.74,683610000.0
2022-06-01,18.7,18.92,18.46,18.81,575810000.0
2022-06-02,18.68,19.53,18.62,19.42,1188410000.0
2022-06-06,19.27,19.63,19.24,19.39,861480000.0
2022-06-07,19.39,19.66,19.01,19.59,738120000.0
2022-06-08,19.45,19.85,18.95,19.46,781180000.0
2022-06-09,19.46,19.46,18.62,18.81,678410000.0
2022-06-10,18.72,19.22,18.53,19.11,513140000.0
2022-06-13,19.12,19.53,18.87,19.09,629380000.0
2022-06-14,18.96,18.96,17.84,18.48,1268710000.0
2022-06-15,18.5,19.01,18.26,18.39,858380000.0
2022-06-16,18.39,18.87,18.3,18.62,714340000.0
2022-06-17,18.62,18.83,18.29,18.7,499730000.0
2022-06-20,18.81,18.97,18.4,18.7,548880000.0
2022-06-21,18.54,19.02,18.4,18.66,803800000.0
2022-06-22,18.68,19.26,18.46,18.69,1361790000.0
2022-06-23,18.53,19.18,18.53,19.13,1037740000.0
2022-06-24,19.21,19.95,19.06,19.67,1063510000.0
2022-06-27,19.96,20.29,19.7,19.8,975520000.0
2022-06-28,19.98,20.55,19.74,20.47,1424120000.0
2022-06-29,20.36,20.85,19.88,19.94,1011050000.0
2022-06-30,20.02,21.43,20.02,20.92,1690260000.0
2022-07-01,20.92,21.23,20.25,20.34,1039430000.0
2022-07-04,20.26,20.37,19.69,20.11,860030000.0
2022-07-05,20.14,20.63,19.85,20.05,901810000.0
2022-07-06,20.03,20.61,19.87,20.25,979450000.0
2022-07-07,21.35,22.23,20.9,21.51,2751930000.0
2022-07-08,21.76,21.98,20.88,21.26,1904350000.0
2022-07-11,21.26,21.33,20.1,20.45,1494450000.0
2022-07-12,20.46,20.7,20.03,20.35,1046360000.0
2022-07-13,20.13,20.67,20.05,20.44,871360000.0
2022-07-14,20.35,21.01,20.19,20.6,1020580000.0
2022-07-15,20.58,21.2,20.45,20.85,885100000.0
2022-07-18,20.86,20.99,20.19,20.31,1098760000.0
2022-07-19,20.4,20.7,19.97,20.09,763580000.0
2022-07-20,20.29,20.6,19.75,19.9,1044330000.0
2022-07-21,19.83,20.82,19.63,20.71,1720570000.0
2022-07-22,20.57,20.9,19.82,20.03,1116860000.0
2022-07-25,19.96,20.07,19.28,19.45,811590000.0
2022-07-26,19.46,19.9,19.27,19.8,681120000.0
2022-07-27,19.81,19.88,19.45,19.59,609600000.0
2022-07-28,19.75,20.59,19.65,20.26,1571660000.0
2022-07-29,20.2,21.21,20.09,20.73,1821820000.0
2022-08-01,20.8,21.21,20.05,21.14,1356330000.0
2022-08-02,20.89,22.01,20.59,21.25,2287390000.0
2022-08-03,21.4,22.71,21.02,21.83,2392680000.0
2022-08-04,21.95,22.75,21.87,22.33,2468540000.0
2022-08-05,22.23,24.25,22.23,24.21,3305700000.0
2022-08-08,24.15,24.85,23.13,23.95,3308710000.0
2022-08-09,23.55,23.96,22.97,23.81,2063110000.0
2022-08-10,23.65,25.46,23.46,24.4,2849130000.0
2022-08-11,24.49,24.84,24.21,24.5,1400510000.0
2022-08-12,24.49,24.84,23.73,23.82,1774340000.0
2022-08-15,23.75,24.25,23.62,23.88,1198540000.0
2022-08-16,23.75,24.23,23.3,23.94,1046810000.0
2022-08-17,23.66,24.21,23.65,24.15,891510000.0
2022-08-18,24.14,24.62,23.61,24.44,1484040000.0
2022-08-19,24.65,25.34,23.9,24.02,2226790000.0
2022-08-22,24.14,25.14,23.8,24.9,1798370000.0
2022-08-23,24.92,25.22,24.65,25.15,1120410000.0
2022-08-24,25.2,25.2,23.34,23.52,2501220000.0
2022-08-25,23.65,23.9,22.98,23.28,1424520000.0
2022-08-26,23.46,23.64,22.74,22.83,944880000.0
2022-08-29,22.66,23.37,22.45,23.01,803730000.0
2022-08-30,22.95,23.85,22.83,23.23,1062320000.0
2022-08-31,22.93,23.43,22.35,22.46,978490000.0
2022-09-01,22.43,23.14,22.27,22.41,651790000.0
2022-09-02,22.45,24.4,22.26,23.68,2048800000.0
2022-09-05,23.58,24.99,23.44,24.55,1757330000.0
2022-09-06,24.48,25.6,24.37,24.85,1774800000.0
2022-09-07,25.04,26.85,24.98,26.26,3024260000.0
2022-09-08,26.2,26.75,25.95,26.26,1494280000.0
2022-09-09,26.26,26.35,25.13,25.63,1775150000.0
2022-09-13,25.65,26.32,25.25,25.47,993880000.0
2022-09-14,25.25,25.93,24.9,25.43,1087410000.0
2022-09-15,25.45,26.04,24.46,24.91,1350560000.0
2022-09-16,24.9,26.73,24.77,25.78,2060370000.0
2022-09-19,25.85,26.61,25.15,25.42,1134890000.0
2022-09-20,25.6,26.03,24.75,25.24,946100000.0
2022-09-21,25.25,25.39,24.57,24.76,1122950000.0
2022-09-22,24.84,25.41,24.23,24.53,1178100000.0
2022-09-23,24.39,24.59,23.48,24.13,1173660000.0
2022-09-26,23.89,24.84,23.89,24.45,877560000.0
2022-09-27,24.36,25.42,24.29,24.75,1214930000.0
2022-09-28,24.46,24.81,23.75,23.75,902280000.0
2022-09-29,24.0,24.14,23.55,23.77,694950000.0
2022-09-30,23.75,23.9,22.97,23.25,790750000.0
2022-10-10,22.88,23.26,19.53,20.05,4717450000.0
2022-10-11,20.12,20.24,18.52,18.94,3294660000.0
2022-10-12,18.95,20.13,18.04,19.85,2783910000.0
2022-10-13,19.45,19.8,18.14,18.43,3319810000.0
2022-10-14,18.5,18.8,17.3,18.47,3368070000.0
2022-10-17,18.39,19.4,18.17,19.22,2816380000.0
2022-10-18,19.33,19.38,18.95,19.19,1582640000.0
2022-10-19,19.0,19.46,18.82,18.95,1084470000.0
2022-10-20,18.83,20.79,18.55,20.28,3254660000.0
2022-10-21,19.93,20.07,18.92,19.55,2252320000.0
2022-10-24,19.74,20.8,19.55,20.48,2574420000.0
2022-10-25,20.51,20.67,19.7,20.07,1730570000.0
2022-10-26,19.99,20.9,19.94,20.57,1610690000.0
2022-10-27,20.38,21.5,20.22,21.08,2267820000.0
2022-10-28,20.75,21.63,20.72,20.9,1669620000.0
2022-10-31,20.67,21.55,20.52,20.79,1327100000.0
2022-11-01,20.81,20.81,20.05,20.46,1320360000.0
2022-11-02,20.46,21.03,20.34,20.94,1170330000.0
2022-11-03,20.65,22.11,20.55,21.94,1623480000.0
2022-11-04,22.09,22.39,21.73,21.96,1159670000.0
2022-11-07,21.74,21.86,21.35,21.45,1143040000.0
2022-11-08,21.99,22.41,21.19,21.66,1160920000.0
2022-11-09,21.51,21.63,21.11,21.33,674010000.0
2022-11-10,21.13,21.27,20.25,20.35,1469110000.0
2022-11-11,21.1,21.11,20.45,20.77,1104230000.0
2022-11-14,20.71,21.11,20.35,20.47,958270000.0
2022-11-15,20.47,21.89,20.34,21.28,1327010000.0
2022-11-16,21.55,21.57,20.58,20.7,872140000.0
2022-11-17,20.64,21.14,19.76,21.02,1447720000.0
2022-11-18,21.02,22.72,21.01,21.48,2549200000.0
2022-11-21,21.52,21.91,21.13,21.47,777890000.0
2022-11-22,21.74,22.04,20.99,21.24,1159230000.0
2022-11-23,21.09,23.05,20.71,22.83,2755290000.0
2022-11-24,22.44,22.83,22.05,22.23,1963240000.0
2022-11-25,22.1,22.93,22.02,22.02,933530000.0
2022-11-28,21.55,22.23,21.26,21.7,1101790000.0
2022-11-29,21.45,22.09,21.45,21.76,724960000.0
2022-11-30,21.72,21.83,21.14,21.53,842910000.0
2022-12-01,21.97,22.79,21.67,22.42,1324620000.0
2022-12-02,22.43,22.83,22.16,22.65,732800000.0
2022-12-05,22.75,23.02,22.31,22.51,651430000.0
2022-12-06,22.52,23.03,22.25,22.68,1002470000.0
2022-12-07,22.68,22.85,22.5,22.68,492030000.0
2022-12-08,22.75,22.95,22.18,22.47,766750000.0
2022-12-09,22.29,23.7,22.23,23.43,1749670000.0
2022-12-12,23.55,23.57,23.0,23.2,804410000.0
2022-12-13,23.24,23.51,22.35,22.38,699490000.0
2022-12-14,23.22,23.34,21.7,21.86,1391740000.0
2022-12-15,21.64,22.34,21.46,21.94,799170000.0
2022-12-16,21.5,22.01,20.99,21.93,1138400000.0
2022-12-19,21.7,22.03,21.29,21.65,487950000.0
2022-12-20,21.65,21.89,20.88,20.97,554600000.0
2022-12-21,20.96,21.15,20.55,20.77,440260000.0
2022-12-22,20.79,21.11,20.49,20.68,556860000.0
2022-12-23,20.66,20.84,20.27,20.64,415900000.0
2022-12-26,20.46,21.55,20.46,21.34,582520000.0
2022-12-27,21.29,21.55,21.15,21.43,388480000.0
2022-12-28,21.36,21.83,21.14,21.27,354230000.0
2022-12-29,21.27,21.51,20.98,21.16,341000000.0
2022-12-30,21.25,21.7,20.73,21.04,631980000.0
2023-01-03,21.09,21.79,20.64,21.51,772250000.0
2023-01-04,21.52,22.19,20.73,21.24,1037760000.0
2023-01-05,21.15,21.5,20.91,21.27,536150000.0
2023-01-06,21.25,21.95,21.07,21.5,865510000.0
2023-01-09,21.61,21.9,21.13,21.3,636470000.0
2023-01-10,21.31,21.71,21.1,21.41,560430000.0
2023-01-11,21.4,22.54,21.39,21.71,1275600000.0
2023-01-12,21.45,21.7,21.26,21.6,385960000.0
2023-01-13,21.6,21.74,21.43,21.7,325810000.0
2023-01-16,21.7,22.18,21.59,21.98,586330000.0
2023-01-17,21.98,22.63,21.9,22.35,585320000.0
2023-01-18,22.65,22.75,21.95,22.25,688750000.0
2023-01-19,22.46,22.82,22.11,22.75,722740000.0
2023-01-20,22.76,23.03,22.59,22.64,413480000.0
2023-01-30,22.75,23.17,22.26,22.44,788190000.0
2023-01-31,22.52,22.79,22.35,22.63,464300000.0
2023-02-01,22.61,23.14,22.58,22.85,578110000.0
2023-02-02,22.91,23.77,22.75,23.19,1131230000.0
2023-02-03,23.21,23.42,22.65,23.03,588460000.0
2023-02-06,22.86,23.1,22.53,22.63,447450000.0
2023-02-07,22.68,22.75,22.31,22.43,509330000.0
2023-02-08,22.52,22.85,22.34,22.38,345820000.0
2023-02-09,22.35,23.07,22.29,23.03,615500000.0
2023-02-10,22.9,23.13,22.01,22.23,1173560000.0
2023-02-13,22.18,23.15,21.91,22.98,1262440000.0
2023-02-14,23.14,23.16,22.71,22.95,599790000.0
2023-02-15,22.97,23.41,22.85,23.11,531020000.0
2023-02-16,23.05,23.54,22.73,22.87,822360000.0
2023-02-17,22.75,22.83,22.25,22.33,812090000.0
2023-02-20,22.27,22.39,21.85,22.25,624630000.0
2023-02-21,22.25,22.43,22.07,22.24,431200000.0
2023-02-22,22.25,22.49,22.08,22.14,371210000.0
2023-02-23,22.15,22.31,21.97,22.21,383930000.0
2023-02-24,22.23,22.35,21.8,21.9,601290000.0
2023-02-27,21.9,22.08,21.75,21.88,372060000.0
2023-02-28,21.63,21.99,21.55,21.81,403960000.0
2023-03-01,21.84,22.19,21.58,22.07,556800000.0
2023-03-02,22.08,23.21,22.08,22.56,1103430000.0
2023-03-03,22.91,23.55,22.74,23.3,1247000000.0
2023-03-06,23.19,24.22,23.01,24.07,1291070000.0
2023-03-07,24.1,24.13,23.57,23.63,680620000.0
2023-03-08,23.47,23.93,23.21,23.64,664920000.0
2023-03-09,23.65,24.93,23.65,24.28,1423650000.0
2023-03-10,24.23,24.63,23.95,24.03,751250000.0
2023-03-13,23.9,24.35,23.66,24.18,717440000.0
2023-03-14,24.3,25.35,24.11,24.95,1356640000.0
2023-03-15,25.25,25.78,24.71,24.78,1104260000.0
2023-03-16,24.74,25.25,24.35,24.45,823140000.0
2023-03-17,24.75,24.99,24.35,24.64,783620000.0
2023-03-20,24.55,24.99,24.15,24.6,607570000.0
2023-03-21,24.6,24.73,23.98,24.29,752590000.0
2023-03-22,24.38,24.41,23.68,24.11,754050000.0
2023-03-23,24.11,24.38,23.95,24.26,498850000.0
2023-03-24,24.2,24.63,23.9,24.04,443730000.0
2023-03-27,24.17,24.93,23.81,23.89,986620000.0
2023-03-28,23.66,24.01,23.34,23.42,749800000.0
2023-03-29,23.45,24.41,23.45,24.13,934470000.0
2023-03-30,24.17,24.75,23.95,24.12,740670000.0
2023-03-31,24.0,24.5,23.95,24.25,586960000.0
2023-04-03,24.9,25.67,24.45,25.37,1565070000.0
2023-04-04,25.16,26.2,25.12,25.77,1650920000.0
2023-04-06,25.54,26.91,25.45,26.59,1916340000.0
2023-04-07,26.6,27.71,26.05,26.75,1613220000.0
2023-04-10,26.45,26.59,25.85,26.19,1330310000.0
2023-04-11,26.0,27.15,25.78,26.14,1194560000.0
2023-04-12,26.31,26.31,25.53,25.83,1183800000.0
2023-04-13,25.71,25.95,25.04,25.16,1126290000.0
2023-04-14,25.34,27.75,25.17,27.5,2850680000.0
2023-04-17,27.66,28.35,26.53,26.95,2775780000.0
2023-04-18,26.45,26.84,25.93,26.54,1678320000.0
2023-04-19,26.55,27.7,26.3,26.69,1844070000.0
2023-04-20,26.64,29.85,26.46,29.65,4241920000.0
2023-04-21,29.25,29.92,28.1,28.81,3155370000.0
2023-04-24,28.65,29.31,28.16,28.82,2287230000.0
2023-04-25,28.68,28.91,27.34,28.02,2146140000.0
2023-04-26,27.75,27.94,25.95,26.52,2134390000.0
2023-04-27,24.64,26.35,24.35,24.85,2670450000.0
2023-04-28,24.9,27.61,24.9,26.27,2371580000.0
2023-05-04,26.13,26.44,25.0,25.12,1382550000.0
2023-05-05,25.04,25.65,24.6,24.95,1214230000.0
2023-05-08,24.99,25.34,24.17,24.59,1156950000.0
2023-05-09,24.44,25.13,24.26,24.4,1045890000.0
2023-05-10,24.38,24.66,23.64,24.43,1161850000.0
2023-05-11,24.72,25.42,23.87,23.95,883960000.0
2023-05-12,24.14,24.73,23.4,23.5,1264450000.0
2023-05-15,23.14,24.25,23.05,24.05,1005330000.0
2023-05-16,23.97,24.71,23.66,24.46,996550000.0
2023-05-17,24.53,25.58,24.42,25.27,1137510000.0
2023-05-18,25.18,25.75,24.9,25.6,948580000.0
2023-05-19,25.63,27.15,25.51,26.48,1675010000.0
2023-05-22,26.7,27.09,26.06,26.42,1022260000.0
2023-05-23,26.36,26.58,25.79,26.09,706750000.0
