date,open,high,low,close,volume
2022-01-04,79.2,79.2,74.9,75.72,428380000.0
2022-01-05,75.72,76.4,73.72,74.1,475670000.0
2022-01-06,73.8,74.65,71.9,72.85,291890000.0
2022-01-07,72.83,74.56,72.1,72.81,323350000.0
2022-01-10,72.7,75.29,70.95,74.13,371530000.0
2022-01-11,73.9,75.3,70.3,71.93,498640000.0
2022-01-12,72.23,73.2,71.24,72.28,216210000.0
2022-01-13,72.52,72.52,70.53,70.77,206350000.0
2022-01-14,70.78,71.08,69.79,70.25,389780000.0
2022-01-17,70.18,73.5,69.7,72.2,434700000.0
2022-01-18,72.36,73.69,71.29,71.85,236060000.0
2022-01-19,71.39,72.18,69.51,70.18,299940000.0
2022-01-20,70.17,72.5,69.3,71.47,334130000.0
2022-01-21,71.68,72.11,69.09,69.99,509720000.0
2022-01-24,69.4,70.7,69.11,70.22,212950000.0
2022-01-25,70.48,71.2,68.3,68.95,272500000.0
2022-01-26,69.1,69.44,66.18,66.83,473790000.0
2022-01-27,67.3,67.3,64.9,65.12,336370000.0
2022-01-28,66.14,66.5,62.1,63.82,513420000.0
2022-02-07,64.4,66.19,62.96,63.66,323080000.0
2022-02-08,63.34,64.7,60.94,62.15,380550000.0
2022-02-09,61.4,62.38,55.73,56.29,1448520000.0
2022-02-10,56.39,56.58,52.07,53.3,1535400000.0
2022-02-11,53.16,53.7,52.21,52.5,1370220000.0
2022-02-14,52.06,53.45,51.41,52.87,476530000.0
2022-02-15,52.42,57.9,52.31,57.29,1143210000.0
2022-02-16,58.03,58.23,56.5,57.33,625710000.0
2022-02-17,57.4,60.56,56.92,59.89,647140000.0
2022-02-18,59.08,60.39,58.58,58.88,389430000.0
2022-02-21,59.28,59.51,57.43,57.94,501070000.0
2022-02-22,57.6,58.08,56.31,57.78,339130000.0
2022-02-23,57.91,62.1,57.4,61.59,885750000.0
2022-02-24,61.12,62.07,59.2,60.89,624070000.0
2022-02-25,62.29,63.1,60.7,61.37,398610000.0
2022-02-28,60.79,61.9,60.12,60.65,422680000.0
2022-03-01,61.89,61.89,59.9,60.9,338000000.0
2022-03-02,60.4,60.47,58.7,59.73,276510000.0
2022-03-03,60.1,60.26,57.25,57.44,416700000.0
2022-03-04,56.78,59.29,56.41,57.33,288180000.0
2022-03-07,56.62,57.63,53.46,53.78,752090000.0
2022-03-08,54.5,56.28,52.33,54.32,693000000.0
2022-03-09,54.27,56.3,52.13,54.18,600630000.0
2022-03-10,56.22,57.47,54.9,55.98,978020000.0
2022-03-11,54.93,55.9,53.35,54.18,494420000.0
2022-03-14,53.71,54.04,52.29,52.4,471460000.0
2022-03-15,52.0,53.31,50.4,50.6,547650000.0
2022-03-16,51.7,52.8,48.21,52.36,881530000.0
2022-03-17,53.78,56.4,53.03,54.35,978650000.0
2022-03-18,53.9,54.47,51.78,52.59,585850000.0
2022-03-21,52.9,55.99,52.55,54.07,724560000.0
2022-03-22,54.36,54.57,53.12,53.59,403920000.0
2022-03-23,53.61,54.32,53.3,53.89,325200000.0
2022-03-24,53.64,54.13,52.69,53.69,366850000.0
2022-03-25,54.16,55.14,52.3,52.35,385940000.0
2022-03-28,51.77,52.15,50.5,50.89,394880000.0
2022-03-29,51.36,51.74,48.66,48.91,481120000.0
2022-03-30,49.03,50.96,48.78,50.71,410380000.0
2022-03-31,50.7,50.8,48.6,49.14,329570000.0
2022-04-01,48.75,49.86,48.26,49.13,217980000.0
2022-04-06,49.13,49.13,46.6,46.99,387870000.0
2022-04-07,46.65,46.9,44.9,45.7,640820000.0
2022-04-08,45.9,46.24,44.12,45.55,398330000.0
2022-04-11,44.85,45.3,42.12,42.69,482690000.0
2022-04-12,42.24,44.7,42.24,44.45,485900000.0
2022-04-13,44.0,44.68,43.45,43.83,393910000.0
2022-04-14,44.37,46.23,43.7,45.18,374310000.0
2022-04-15,44.81,48.01,44.05,46.25,528520000.0
2022-04-18,45.88,48.4,45.41,47.28,447150000.0
2022-04-19,46.95,47.27,44.8,45.09,449070000.0
2022-04-20,45.08,45.39,43.85,44.28,312960000.0
2022-04-21,44.28,45.55,42.6,42.6,396000000.0
2022-04-22,42.72,43.15,40.4,41.28,561550000.0
2022-04-25,39.99,41.07,37.44,37.49,475710000.0
2022-04-26,38.09,39.37,36.73,37.17,495530000.0
2022-04-27,36.8,39.1,35.31,38.85,746960000.0
2022-04-28,37.92,39.18,36.58,38.83,596890000.0
2022-04-29,39.02,42.92,38.58,42.92,831210000.0
2022-05-05,42.2,43.4,41.67,42.4,679730000.0
2022-05-06,41.4,41.79,40.7,41.39,382240000.0
2022-05-09,41.3,41.9,40.75,41.28,264910000.0
2022-05-10,40.4,42.98,39.93,42.07,670790000.0
2022-05-11,42.08,45.58,41.95,44.4,884440000.0
2022-05-12,43.69,44.56,43.22,43.75,439910000.0
2022-05-13,44.18,44.39,42.95,43.22,368220000.0
2022-05-16,43.41,45.08,43.2,44.09,463580000.0
2022-05-17,44.14,45.35,43.09,45.11,518640000.0
2022-05-18,45.58,46.68,44.86,45.7,586500000.0
2022-05-19,44.97,47.34,44.54,46.81,570950000.0
2022-05-20,46.61,47.3,46.13,46.9,394080000.0
2022-05-23,46.7,46.9,45.96,46.53,264930000.0
2022-05-24,46.49,47.45,44.56,44.58,545470000.0
2022-05-25,44.6,45.37,43.76,44.15,321470000.0
2022-05-26,44.18,44.34,42.62,43.68,337810000.0
2022-05-27,44.09,45.47,43.11,43.61,346200000.0
