date,open,close,high,low,volume
2024-01-02,57.92,57.29,58.35,57.09,2396500.0
2024-01-03,56.96,55.91,57.28,55.42,1935700.0
2024-01-04,55.92,55.03,56.2,54.58,1770800.0
2024-01-05,55.04,51.67,55.36,50.31,5237500.0
2024-01-08,51.61,49.33,51.61,49.19,3397900.0
2024-01-09,49.99,49.61,50.9,49.11,2886600.0
2024-01-10,49.57,49.29,50.3,48.06,1991300.0
2024-01-11,49.24,50.45,51.0,49.18,2141800.0
2024-01-12,50.26,50.23,50.78,50.03,1266400.0
2024-01-15,50.01,49.8,50.91,49.45,1585000.0
2024-01-16,49.79,49.14,49.9,48.6,1779900.0
2024-01-17,49.17,46.88,49.23,46.88,2351700.0
2024-01-18,46.9,47.61,47.64,45.58,3329300.0
2024-01-19,47.61,47.03,48.34,47.0,1690200.0
2024-01-22,47.09,44.11,47.41,43.62,2840400.0
2024-01-23,44.12,45.17,45.4,43.69,2990700.0
2024-01-24,45.44,44.78,45.5,43.16,3020800.0
2024-01-25,44.77,46.21,46.29,44.01,2593100.0
2024-01-26,46.05,44.06,46.05,43.79,4114000.0
2024-01-29,44.06,42.95,44.76,42.62,2784500.0
2024-01-30,42.95,40.54,42.95,40.41,5095600.0
2024-01-31,40.34,38.49,40.73,38.47,3820900.0
2024-02-01,38.83,38.65,39.72,38.05,4122600.0
2024-02-02,38.65,36.97,39.09,35.7,5354000.0
2024-02-05,36.69,34.11,36.92,32.55,7321600.0
2024-02-06,33.88,37.06,37.07,33.71,6939500.0
2024-02-07,37.11,40.37,40.88,37.11,7399700.0
2024-02-08,41.11,41.78,43.22,40.55,6567000.0
2024-02-19,42.71,42.01,42.86,41.11,5111000.0
2024-02-20,41.42,41.57,41.89,40.95,3851100.0
2024-02-21,41.31,42.14,43.7,41.02,5071900.0
2024-02-22,42.02,43.61,43.98,42.02,5459300.0
2024-02-23,44.03,44.15,44.44,43.01,4934700.0
2024-02-26,44.16,45.04,45.77,43.88,5145600.0
2024-02-27,44.55,46.48,46.48,44.54,5721600.0
2024-02-28,46.47,43.41,47.47,43.41,7248000.0
2024-02-29,43.15,46.18,46.5,43.15,7407100.0
2024-03-01,46.31,47.69,47.99,45.96,7459400.0
2024-03-04,47.46,47.66,47.85,46.39,6264100.0
2024-03-05,47.09,46.62,47.52,46.22,4399300.0
2024-03-06,46.36,45.92,46.75,45.21,3642500.0
2024-03-07,46.61,45.48,47.41,45.48,4105100.0
2024-03-08,45.28,46.25,46.41,45.14,3416900.0
2024-03-11,45.77,47.6,47.61,45.48,5193100.0
2024-03-12,47.44,49.11,50.91,47.21,7679300.0
2024-03-13,49.05,48.52,49.6,48.43,4568700.0
2024-03-14,48.23,47.64,48.71,47.14,3672800.0
2024-03-15,48.01,47.99,48.08,47.02,3068300.0
2024-03-18,48.0,48.87,48.96,47.71,3736700.0
2024-03-19,48.83,48.53,49.18,48.31,3346900.0
2024-03-20,48.56,48.92,49.18,48.13,3323000.0
2024-03-21,48.9,48.58,49.77,48.53,3585000.0
2024-03-22,48.53,48.41,49.31,48.06,3768800.0
2024-03-25,48.16,46.22,48.36,46.11,4378500.0
2024-03-26,46.32,45.73,47.21,45.27,3437200.0
2024-03-27,45.71,43.47,46.24,43.43,4299800.0
2024-03-28,43.46,43.71,44.58,43.12,3895400.0
2024-03-29,43.71,43.73,43.89,42.4,3652600.0
2024-04-01,43.99,44.63,44.99,43.99,2935800.0
2024-04-02,44.46,43.89,44.52,43.26,2468800.0
2024-04-03,44.26,43.09,44.36,43.01,2564100.0
2024-04-08,43.05,41.6,43.07,41.52,2635900.0
2024-04-09,41.64,42.81,42.87,41.64,2471100.0
2024-04-10,43.13,41.41,43.24,41.12,2482500.0
2024-04-11,41.29,41.38,42.06,41.13,2112400.0
2024-04-12,44.1,42.54,46.06,42.53,8599100.0
2024-04-15,42.11,42.8,43.91,41.77,5790400.0
2024-04-16,41.93,40.49,42.36,40.49,5160100.0
2024-04-17,40.71,41.79,41.99,40.71,4573900.0
2024-04-18,41.22,41.9,42.6,40.61,4884100.0
2024-04-19,41.16,40.31,41.61,40.01,3721200.0
2024-04-22,39.98,40.61,41.1,39.37,2746500.0
2024-04-23,40.77,40.47,41.39,39.97,2384000.0
2024-04-24,40.62,40.85,40.96,40.22,2610300.0
2024-04-25,42.06,45.69,47.26,42.0,13356800.0
2024-04-26,45.28,46.18,46.46,44.92,8961500.0
2024-04-29,45.82,47.91,48.11,45.82,8949500.0
2024-04-30,47.89,47.16,47.89,47.11,4336200.0
2024-05-06,47.92,47.76,48.1,47.25,4689800.0
2024-05-07,47.44,46.64,47.79,46.34,5829200.0
2024-05-08,46.47,45.7,46.6,45.59,3495900.0
2024-05-09,45.55,47.3,47.61,45.55,6318500.0
2024-05-10,47.25,46.28,47.31,46.06,4235700.0
2024-05-13,45.56,45.05,46.08,44.91,3900100.0
2024-05-14,45.25,45.38,45.86,44.97,2913800.0
2024-05-15,45.26,44.98,46.17,44.91,3522100.0
2024-05-16,45.11,44.81,45.43,44.47,3588000.0
2024-05-17,44.84,45.84,45.86,44.72,4703600.0
2024-05-20,45.57,45.4,46.07,44.91,4748000.0
2024-05-21,45.4,46.26,46.74,44.71,5886500.0
2024-05-22,46.37,45.71,46.39,45.11,5431600.0
2024-05-23,45.72,44.01,45.72,43.91,5820300.0
2024-05-24,43.91,43.82,44.59,43.77,3042300.0
2024-05-27,43.53,45.35,45.41,42.47,6711700.0
2024-05-28,45.28,44.78,46.61,44.77,7349800.0
2024-05-29,44.52,44.73,45.58,44.36,3944800.0
2024-05-30,44.32,45.87,46.13,44.11,5746700.0
2024-05-31,45.61,45.71,46.23,45.49,4475800.0
2024-06-03,45.29,46.35,47.06,45.29,6620700.0
2024-06-04,45.93,45.56,46.19,44.79,5208400.0
2024-06-05,45.22,46.46,47.08,45.15,7655500.0
2024-06-06,46.93,48.97,49.31,46.85,16919800.0
2024-06-07,49.81,48.17,50.1,47.89,12273600.0
2024-06-11,48.01,51.72,52.57,47.83,16964900.0
2024-06-12,51.16,51.69,51.76,50.23,11972600.0
2024-06-13,51.51,49.92,53.61,49.82,14642100.0
2024-06-14,49.51,49.26,49.96,48.81,9151300.0
2024-06-17,48.99,50.73,50.81,48.97,10760200.0
2024-06-18,50.11,50.25,51.03,50.01,8191900.0
2024-06-19,50.46,51.2,51.67,49.87,9628400.0
2024-06-20,50.62,51.01,52.8,50.61,10704100.0
2024-06-21,50.11,50.0,50.34,48.63,6905600.0
2024-06-24,49.08,48.88,50.97,48.61,7130200.0
2024-06-25,49.02,46.76,49.19,46.26,7881100.0
2024-06-26,46.76,47.88,47.97,45.91,4993900.0
2024-06-27,47.36,46.34,48.0,46.31,4808200.0
2024-06-28,46.34,46.87,47.9,46.26,5622300.0
2024-07-01,47.3,46.09,47.3,45.11,5607400.0
2024-07-02,46.01,45.54,46.21,45.35,3677200.0
2024-07-03,45.43,45.83,46.5,44.53,5001400.0
2024-07-04,45.93,46.85,47.86,45.59,8189000.0
2024-07-05,46.63,46.11,46.63,45.06,6132100.0
2024-07-08,45.91,47.02,49.7,45.91,10223200.0
2024-07-09,46.63,49.2,49.2,46.62,12014100.0
2024-07-10,48.73,49.72,49.96,48.5,9773700.0
2024-07-11,50.91,49.74,50.95,49.11,8016200.0
2024-07-12,49.31,51.21,51.61,49.19,8191900.0
2024-07-15,50.81,50.39,51.67,49.68,6968000.0
2024-07-16,49.91,51.03,51.04,49.12,7549900.0
2024-07-17,53.17,52.26,54.61,52.21,18499200.0
2024-07-18,51.4,53.95,54.5,51.03,15619000.0
2024-07-19,53.51,54.44,55.1,53.23,12922600.0
2024-07-22,54.46,54.13,55.21,53.61,8306300.0
2024-07-23,53.61,51.61,53.84,51.57,7765700.0
2024-07-24,51.31,50.47,52.11,50.06,6086200.0
2024-07-25,50.06,49.93,50.58,49.63,4468000.0
2024-07-26,49.81,50.19,50.61,49.19,5000900.0
