date,open,high,low,close,volume
2024-01-02,80.37,81.74,78.71,78.77,14791052.0
2024-01-03,77.7,78.33,74.7,74.77,22108689.0
2024-01-04,74.56,75.25,72.9,74.06,16650744.0
2024-01-05,73.79,74.42,70.64,71.24,17552090.0
2024-01-08,71.07,72.0,69.66,70.36,13263010.0
2024-01-09,72.48,73.73,71.57,72.15,20001059.0
2024-01-10,72.16,73.14,70.0,71.21,13860209.0
2024-01-11,71.21,74.4,71.15,73.63,19289732.0
2024-01-12,73.09,73.34,70.9,71.61,13842001.0
2024-01-15,70.76,73.78,70.76,72.55,12647626.0
2024-01-16,71.85,72.11,70.08,71.42,16902585.0
2024-01-17,71.68,73.24,70.52,70.52,19193181.0
2024-01-18,69.11,78.3,68.96,78.21,37099766.0
2024-01-19,79.97,80.89,78.61,79.05,31897323.0
2024-01-22,82.61,82.96,79.04,79.48,32714966.0
2024-01-23,79.75,83.51,78.93,81.18,29756999.0
2024-01-24,80.94,81.31,77.61,80.97,26955248.0
2024-01-25,80.1,84.89,79.35,84.28,29700979.0
2024-01-26,84.03,84.03,81.04,82.58,23214974.0
2024-01-29,80.94,80.94,68.86,73.93,42655860.0
2024-01-30,73.35,75.34,71.73,72.07,21396846.0
2024-01-31,71.23,76.83,70.32,73.21,28299456.0
2024-02-01,73.91,82.61,72.32,79.08,35111551.0
2024-02-02,79.67,81.1,76.7,78.23,27957811.0
2024-02-05,76.91,83.63,76.82,79.76,36554728.0
2024-02-06,78.81,88.93,78.19,88.93,35496880.0
2024-02-07,87.67,89.72,86.59,88.74,27058041.0
2024-02-08,90.8,97.56,88.88,90.44,35591806.0
2024-02-19,98.28,108.53,95.33,108.53,41589102.0
2024-02-20,108.96,116.07,107.53,113.59,44837230.0
2024-02-21,108.25,109.69,104.9,106.79,45141645.0
2024-02-22,112.55,113.69,106.44,110.03,41951491.0
2024-02-23,113.94,114.66,104.72,105.21,49034104.0
2024-02-26,101.15,107.83,101.15,106.13,33292672.0
2024-02-27,105.01,117.29,103.99,115.32,45132277.0
2024-02-28,114.66,116.01,106.69,106.69,40110610.0
2024-02-29,108.96,113.09,107.53,110.5,36809385.0
2024-03-01,111.12,116.45,111.12,114.73,37820658.0
2024-03-04,118.29,121.53,114.02,117.97,40503456.0
2024-03-05,116.29,128.11,115.81,120.47,46923422.0
2024-03-06,118.93,121.21,115.97,119.13,30407979.0
2024-03-07,121.06,124.46,116.79,116.89,30368922.0
2024-03-08,120.26,126.0,117.25,124.62,36453783.0
2024-03-11,118.95,121.76,116.99,121.49,34161721.0
2024-03-12,120.92,122.2,113.78,117.4,36190452.0
2024-03-13,122.07,122.4,117.43,117.5,31768352.0
2024-03-14,115.37,122.49,115.37,120.73,31101666.0
2024-03-15,118.93,128.47,117.92,126.31,38974233.0
2024-03-18,127.3,132.52,126.47,128.18,32993596.0
2024-03-19,123.42,125.8,122.1,123.78,33277231.0
2024-03-20,122.49,125.1,118.22,120.32,32157969.0
2024-03-21,120.52,122.96,118.45,119.41,25327281.0
2024-03-22,119.64,121.43,118.47,119.41,22615344.0
2024-03-25,119.61,122.4,116.79,118.58,22335677.0
2024-03-26,117.87,123.04,106.82,112.88,46524626.0
2024-03-27,114.5,115.35,108.79,109.81,29085648.0
2024-03-28,110.39,113.86,107.63,110.16,26330865.0
2024-03-29,109.03,111.81,108.14,111.49,16722033.0
2024-04-01,112.37,116.71,110.93,116.08,21793143.0
2024-04-02,115.37,118.22,113.96,115.76,19455616.0
2024-04-03,113.23,114.33,110.83,111.17,16630436.0
2024-04-08,110.81,120.57,110.81,117.19,25924309.0
2024-04-09,116.79,118.2,114.11,117.43,17038329.0
2024-04-10,115.56,117.42,111.81,113.59,16849086.0
2024-04-11,114.66,117.2,113.79,114.05,14886291.0
2024-04-12,116.79,124.13,116.44,120.59,30735097.0
2024-04-15,119.49,122.87,118.61,120.71,17939594.0
2024-04-16,119.14,122.85,116.12,118.47,18793545.0
