date,open,high,low,close,volume
2024-01-02,52.33,52.33,49.2,49.53,2584700.0
2024-01-03,49.51,49.51,45.95,47.12,2871000.0
2024-01-04,47.07,47.63,46.57,47.43,1029700.0
2024-01-05,47.46,47.71,46.5,47.1,806700.0
2024-01-08,47.1,47.17,46.45,46.56,660100.0
2024-01-09,46.9,47.1,44.04,44.45,1868600.0
2024-01-10,44.45,44.45,42.47,43.07,1966200.0
2024-01-11,43.42,44.01,42.65,43.48,1325900.0
2024-01-12,43.09,43.62,42.2,42.2,1605200.0
2024-01-15,42.09,42.75,41.3,42.26,1484500.0
2024-01-16,41.91,42.88,41.3,42.14,1015800.0
2024-01-17,42.08,42.08,39.94,39.96,1465500.0
2024-01-18,39.96,40.77,39.23,40.55,1473700.0
2024-01-19,40.6,41.2,39.63,39.71,959200.0
2024-01-22,39.71,39.91,36.8,37.14,1598100.0
2024-01-23,36.86,38.27,36.53,37.95,1578600.0
2024-01-24,37.95,38.09,35.76,37.22,1624700.0
2024-01-25,37.32,39.19,36.52,38.76,1506900.0
2024-01-26,38.68,38.76,36.52,36.75,1553700.0
2024-01-29,37.19,37.86,35.7,35.88,1554700.0
2024-01-30,35.29,35.89,34.1,34.26,1349900.0
2024-01-31,34.58,34.89,33.15,33.25,1441800.0
2024-02-01,32.75,34.95,32.1,33.69,2188500.0
2024-02-02,33.44,33.72,30.88,31.88,2260500.0
2024-02-05,31.48,31.54,27.91,29.25,2644000.0
2024-02-06,29.43,33.11,27.97,32.85,2231800.0
2024-02-07,32.85,34.75,32.49,33.28,2576600.0
2024-02-08,34.1,37.87,33.59,36.82,2736400.0
2024-02-19,37.22,37.8,35.29,36.39,2075000.0
2024-02-20,36.23,37.04,35.65,36.23,1400500.0
2024-02-21,36.23,37.37,35.3,36.31,1633400.0
2024-02-22,36.42,37.67,35.8,37.26,1995700.0
2024-02-23,37.37,37.66,36.19,37.5,1899500.0
2024-02-26,37.3,40.57,37.15,39.38,2681500.0
2024-02-27,39.0,41.79,38.28,41.19,2934400.0
2024-02-28,40.89,42.17,37.67,37.79,2419300.0
2024-02-29,37.06,41.8,37.06,41.36,3087100.0
2024-03-01,41.14,42.22,40.18,40.98,2376600.0
2024-03-04,40.98,41.59,39.82,40.52,1864200.0
2024-03-05,40.1,40.93,39.37,39.97,1533900.0
2024-03-06,39.67,40.0,38.29,39.3,1658100.0
2024-03-07,43.43,46.83,41.79,41.91,6890100.0
2024-03-08,42.56,43.49,41.32,43.03,3403300.0
2024-03-11,43.43,46.15,41.89,45.28,4089100.0
2024-03-12,44.81,46.49,44.15,45.4,2592500.0
2024-03-13,45.44,47.15,45.23,45.44,2401800.0
2024-03-14,45.31,45.31,43.16,43.81,1831200.0
2024-03-15,43.45,44.79,42.96,44.79,1662800.0
2024-03-18,44.79,45.02,43.95,44.74,1494000.0
2024-03-19,44.64,45.14,44.19,44.43,1092600.0
2024-03-20,44.11,46.33,43.98,45.91,1797600.0
2024-03-21,45.81,48.44,45.52,46.63,2458500.0
2024-03-22,46.62,49.64,46.19,49.36,3612700.0
2024-03-25,49.54,52.26,48.19,49.36,3765600.0
2024-03-26,48.92,49.79,45.69,46.82,3286900.0
2024-03-27,46.17,46.48,43.28,43.38,2147300.0
2024-03-28,43.02,44.85,42.98,44.43,2024400.0
2024-03-29,43.84,44.11,42.21,43.01,1880300.0
2024-04-01,44.09,44.14,42.81,43.09,1626700.0
2024-04-02,43.37,43.37,41.18,42.42,1740400.0
2024-04-03,42.38,42.62,40.05,41.0,1826300.0
2024-04-08,41.04,42.68,41.02,41.16,1564900.0
2024-04-09,41.05,42.59,40.8,42.23,1255800.0
2024-04-10,42.23,42.23,39.85,39.9,1406600.0
2024-04-11,39.41,40.56,39.25,39.28,1303300.0
2024-04-12,39.17,40.77,39.17,40.18,1132600.0
2024-04-15,40.82,42.06,40.07,40.42,1288600.0
2024-04-16,39.97,42.78,39.06,41.09,2207200.0
2024-04-17,40.92,45.16,40.82,44.89,2823700.0
2024-04-18,44.82,46.05,43.57,43.77,2104700.0
2024-04-19,43.35,44.36,41.33,41.61,1694200.0
2024-04-22,41.53,42.51,40.1,41.89,1314300.0
2024-04-23,42.21,42.61,41.07,41.82,739800.0
2024-04-24,41.95,42.69,41.32,42.31,819600.0
2024-04-25,41.81,42.99,41.6,42.4,787800.0
2024-04-26,42.4,46.08,42.18,45.4,2005400.0
2024-04-29,45.16,48.85,44.93,48.4,2052200.0
2024-04-30,49.66,50.45,46.09,47.59,2023300.0
2024-05-06,48.86,48.86,46.86,47.23,1726200.0
2024-05-07,47.5,47.5,45.42,45.69,1982400.0
2024-05-08,45.93,46.41,45.2,45.46,1791700.0
2024-05-09,45.46,46.49,45.46,45.96,1095200.0
2024-05-10,45.98,46.27,43.43,44.15,1737200.0
2024-05-13,43.77,44.33,42.85,42.96,1166300.0
2024-05-14,42.96,43.81,41.94,42.76,1064300.0
2024-05-15,42.76,44.3,42.21,42.82,1399000.0
2024-05-16,43.43,44.24,42.93,43.62,961500.0
2024-05-17,43.52,44.3,42.9,44.22,920800.0
2024-05-20,44.09,44.92,43.43,43.92,954000.0
2024-05-21,43.77,44.05,42.93,43.49,779500.0
2024-05-22,42.99,43.57,39.36,41.28,3681500.0
2024-05-23,41.15,41.75,40.72,41.09,1591700.0
2024-05-24,40.72,41.26,40.33,40.33,955100.0
2024-05-27,40.56,41.89,39.36,41.87,2078500.0
2024-05-28,41.87,43.4,41.45,42.08,1962500.0
2024-05-29,41.81,42.61,41.19,41.68,1042700.0
2024-05-30,41.34,42.99,40.73,42.44,1580200.0
2024-05-31,42.08,43.02,42.02,42.5,1139100.0
2024-06-03,42.93,44.93,42.48,44.67,2383800.0
2024-06-04,44.34,45.3,43.44,43.92,1469400.0
2024-06-05,43.92,44.97,43.69,43.83,1297000.0
2024-06-06,44.06,45.25,43.18,43.43,2208200.0
2024-06-07,43.84,45.06,42.82,44.84,2422500.0
2024-06-11,44.91,46.69,44.19,46.64,2891300.0
2024-06-12,46.3,46.74,45.24,45.69,2915900.0
2024-06-13,46.18,47.13,45.44,46.22,3877500.0
2024-06-14,45.48,46.34,44.53,44.54,4258000.0
2024-06-17,44.53,45.81,43.81,45.61,2690400.0
2024-06-18,43.98,45.54,43.54,44.75,2581600.0
2024-06-19,45.24,45.33,43.69,44.28,1691200.0
2024-06-20,44.59,46.54,43.98,45.45,2545700.0
2024-06-21,44.91,45.1,43.88,44.72,1646000.0
2024-06-24,43.8,44.66,40.33,40.52,4760600.0
2024-06-25,40.51,41.13,38.15,38.64,4678900.0
2024-06-26,38.85,39.65,38.03,39.54,3011700.0
2024-06-27,39.17,39.82,37.33,37.4,3764300.0
2024-06-28,37.51,38.25,36.33,36.59,3528800.0
2024-07-01,37.12,38.15,36.36,37.21,3080300.0
2024-07-02,37.14,37.62,36.46,36.74,2227200.0
2024-07-03,36.73,37.75,35.8,36.96,2365200.0
2024-07-04,36.76,37.05,35.31,35.43,2471800.0
2024-07-05,34.36,35.82,34.36,35.46,1918400.0
2024-07-08,35.64,36.07,32.95,34.81,2578100.0
2024-07-09,34.66,35.95,34.09,35.6,4080400.0
2024-07-10,35.27,35.62,34.75,34.98,2932200.0
2024-07-11,35.58,36.12,35.07,35.73,3394500.0
2024-07-12,35.62,36.89,35.15,36.44,2990300.0
2024-07-15,37.54,38.01,35.16,35.48,4757900.0
2024-07-16,35.45,36.78,34.65,36.45,3833300.0
2024-07-17,36.25,38.4,36.2,37.73,5034100.0
2024-07-18,39.57,40.47,37.66,38.98,7839400.0
2024-07-19,38.55,39.61,38.03,39.08,6348600.0
2024-07-22,39.2,40.15,38.88,39.65,4985800.0
2024-07-23,39.65,39.65,36.21,36.32,6485500.0
2024-07-24,36.35,36.63,34.99,35.07,3894400.0
2024-07-25,34.81,35.52,34.35,34.94,2192900.0
2024-07-26,35.45,36.41,34.38,35.92,3142800.0
2024-07-29,35.83,36.4,35.1,35.17,3493300.0
2024-07-30,35.06,38.39,34.62,37.27,4841600.0
2024-07-31,37.21,38.79,36.69,38.64,3948800.0
2024-08-01,38.63,40.25,38.49,39.44,4378000.0
2024-08-02,39.05,39.65,37.77,37.93,2583600.0
2024-08-05,37.93,38.45,36.2,36.28,2799200.0
2024-08-06,37.27,37.57,36.4,36.95,1892800.0
2024-08-07,36.67,37.23,36.54,36.6,1209000.0
2024-08-08,36.25,37.91,35.66,36.87,2064300.0
2024-08-09,37.41,38.3,36.94,36.95,1964500.0
2024-08-12,36.75,37.04,36.22,36.49,1545300.0
2024-08-13,36.49,37.05,36.25,36.74,1029300.0
2024-08-14,37.32,37.32,35.05,35.2,2364700.0
2024-08-15,35.16,36.18,34.95,35.31,1733300.0
2024-08-16,35.65,35.99,35.1,35.21,1337200.0
2024-08-19,35.21,35.79,34.55,34.94,1134000.0
2024-08-20,35.0,35.01,32.85,33.25,2958100.0
2024-08-21,33.45,34.03,32.96,33.19,1430400.0
2024-08-22,33.35,33.55,32.71,32.88,1138900.0
2024-08-23,32.69,33.1,32.49,32.95,1205300.0
2024-08-26,32.66,34.05,32.66,32.97,1744700.0
2024-08-27,32.7,33.17,32.37,33.08,1461200.0
2024-08-28,32.95,33.55,32.59,33.36,1438800.0
