date,open,high,low,close,volume
2024-01-02,78.86,80.25,77.2,77.25,14791100.0
2024-01-03,76.18,76.81,73.14,73.22,22108700.0
2024-01-04,73.01,73.71,71.33,72.51,16650700.0
2024-01-05,72.23,72.86,69.06,69.65,17552100.0
2024-01-08,69.49,70.43,68.07,68.77,13263000.0
2024-01-09,70.91,72.17,69.99,70.58,20001100.0
2024-01-10,70.59,71.58,68.41,69.63,13860200.0
2024-01-11,69.63,72.85,69.57,72.07,19289700.0
2024-01-12,71.52,71.77,69.32,70.03,13842000.0
2024-01-15,69.17,72.22,69.17,70.98,12647600.0
2024-01-16,70.27,70.54,68.48,69.84,16902600.0
2024-01-17,70.11,71.67,68.93,68.93,19193200.0
2024-01-18,67.5,76.78,67.35,76.69,37099800.0
2024-01-19,78.47,79.39,77.1,77.53,31897300.0
2024-01-22,81.13,81.49,77.53,77.97,32715000.0
2024-01-23,78.25,82.03,77.42,79.69,29757000.0
2024-01-24,79.44,79.82,76.08,79.47,26955200.0
2024-01-25,78.6,83.43,77.84,82.82,29701000.0
2024-01-26,82.56,82.56,79.55,81.1,23215000.0
2024-01-29,79.44,79.44,67.26,72.38,42655900.0
2024-01-30,71.79,73.8,70.16,70.49,21396800.0
2024-01-31,69.65,75.3,68.73,71.64,28299500.0
2024-02-01,72.35,81.13,70.75,77.57,35111600.0
2024-02-02,78.17,79.6,75.16,76.71,27957800.0
2024-02-05,75.38,82.15,75.29,78.25,36554700.0
2024-02-06,77.29,87.51,76.67,87.51,35496900.0
2024-02-07,86.23,88.3,85.14,87.31,27058000.0
2024-02-08,89.39,96.22,87.45,89.03,35591800.0
2024-02-19,96.93,107.28,93.96,107.28,41589100.0
2024-02-20,107.71,114.89,106.27,112.38,44837200.0
2024-02-21,106.99,108.45,103.62,105.53,45141600.0
2024-02-22,111.34,112.48,105.17,108.8,41951500.0
2024-02-23,112.74,113.46,103.44,103.92,49034100.0
2024-02-26,99.83,106.57,99.83,104.86,33292700.0
2024-02-27,103.73,116.12,102.7,114.13,45132300.0
2024-02-28,113.46,114.82,105.42,105.42,40110600.0
2024-02-29,107.71,111.88,106.27,109.26,36809400.0
2024-03-01,109.89,115.27,109.89,113.53,37820700.0
2024-03-04,117.13,120.4,112.82,116.81,40503500.0
2024-03-05,115.11,127.04,114.62,119.32,46923400.0
2024-03-06,117.77,120.07,114.78,117.97,30408000.0
2024-03-07,119.93,123.35,115.61,115.71,30368900.0
2024-03-08,119.11,124.9,116.08,123.51,36453800.0
2024-03-11,117.79,120.62,115.82,120.36,34161700.0
2024-03-12,119.78,121.07,112.58,116.23,36190500.0
2024-03-13,120.94,121.28,116.25,116.33,31768400.0
2024-03-14,114.18,121.36,114.18,119.59,31101700.0
2024-03-15,117.77,127.4,116.76,125.21,38974200.0
2024-03-18,126.21,131.48,125.38,127.1,32993600.0
