date,nav,cash,position_value,drawdown,peak,dd,daily_ret,month
2025-04-21,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,,2025-04
2025-04-22,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-23,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-24,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-25,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-28,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-29,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-04-30,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-04
2025-05-06,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-07,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-08,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-09,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-12,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-13,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-14,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-15,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-16,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-19,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-20,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-21,2000000.0,2000000.0,0.0,0.0,2000000.0,0.0,0.0,2025-05
2025-05-22,1999884.68832,1639535.68832,360349.0,0.0,2000000.0,5.765584000002127e-05,-5.76558400000593e-05,2025-05
2025-05-23,1999039.5388754199,1639535.68832,359503.8505554199,0.0004802305622900603,2000000.0,0.0004802305622900603,-0.0004225990875954544,2025-05
2025-05-26,1990589.9233969043,1639535.68832,351054.2350769043,0.0047050383015478725,2000000.0,0.0047050383015478725,-0.004226837595853183,2025-05
2025-05-27,1983120.7057150195,1639535.68832,343585.01739501953,0.008439647142490255,2000000.0,0.008439647142490255,-0.003752263383881016,2025-05
2025-05-28,1976597.17908,1976597.17908,0.0,0.011310630266269552,2000000.0,0.011701410460000042,-0.0032895257541408762,2025-05
2025-05-29,1976597.17908,1976597.17908,0.0,0.011701410460000042,2000000.0,0.011701410460000042,0.0,2025-05
2025-05-30,1976597.17908,1976597.17908,0.0,0.011701410460000042,2000000.0,0.011701410460000042,0.0,2025-05
2025-06-03,1976597.17908,1976597.17908,0.0,0.011701410460000042,2000000.0,0.011701410460000042,0.0,2025-06
2025-06-04,1976597.17908,1976597.17908,0.0,0.011701410460000042,2000000.0,0.011701410460000042,0.0,2025-06
2025-06-05,1976597.17908,1976597.17908,0.0,0.011701410460000042,2000000.0,0.011701410460000042,0.0,2025-06
2025-06-06,1976597.17908,1976597.17908,0.0,0.011701410460000042,2000000.0,0.011701410460000042,0.0,2025-06
2025-06-09,1976597.17908,1976597.17908,0.0,0.011701410460000042,2000000.0,0.011701410460000042,0.0,2025-06
2025-06-10,1976597.17908,1976597.17908,0.0,0.011701410460000042,2000000.0,0.011701410460000042,0.0,2025-06
2025-06-11,1976597.17908,1976597.17908,0.0,0.011701410460000042,2000000.0,0.011701410460000042,0.0,2025-06
2025-06-12,1976597.17908,1976597.17908,0.0,0.011701410460000042,2000000.0,0.011701410460000042,0.0,2025-06
2025-06-13,1976597.17908,1976597.17908,0.0,0.011701410460000042,2000000.0,0.011701410460000042,0.0,2025-06
2025-06-16,1976597.17908,1976597.17908,0.0,0.011701410460000042,2000000.0,0.011701410460000042,0.0,2025-06
2025-06-17,1976597.17908,1976597.17908,0.0,0.011701410460000042,2000000.0,0.011701410460000042,0.0,2025-06
2025-06-18,1976597.17908,1976597.17908,0.0,0.011701410460000042,2000000.0,0.011701410460000042,0.0,2025-06
2025-06-19,1976597.17908,1976597.17908,0.0,0.011701410460000042,2000000.0,0.011701410460000042,0.0,2025-06
2025-06-20,1976597.17908,1976597.17908,0.0,0.011701410460000042,2000000.0,0.011701410460000042,0.0,2025-06
2025-06-23,1976597.17908,1976597.17908,0.0,0.011701410460000042,2000000.0,0.011701410460000042,0.0,2025-06
2025-06-24,1976484.28308,1623684.28308,352800.0,0.011701410460000042,2000000.0,0.011757858460000018,-5.711634175886715e-05,2025-06
2025-06-25,1979204.204955,1623684.28308,355519.921875,0.010397897522500017,2000000.0,0.010397897522500017,0.001376141413460319,2025-06
2025-06-26,1975294.7567128125,1623684.28308,351610.4736328125,0.012352621643593768,2000000.0,0.012352621643593768,-0.00197526270023074,2025-06
2025-06-27,1968684.28116,1968684.28116,0.0,0.015260849182656269,2000000.0,0.015657859419999993,-0.0033465767730853635,2025-06
2025-06-30,1968684.28116,1968684.28116,0.0,0.015657859419999993,2000000.0,0.015657859419999993,0.0,2025-06
2025-07-01,1968684.28116,1968684.28116,0.0,0.015657859419999993,2000000.0,0.015657859419999993,0.0,2025-07
2025-07-02,1968684.28116,1968684.28116,0.0,0.015657859419999993,2000000.0,0.015657859419999993,0.0,2025-07
2025-07-03,1968495.81396,1379535.81396,588960.0,0.015657859419999993,2000000.0,0.015752093020000028,-9.573256707728905e-05,2025-07
2025-07-04,1965295.823725625,1379535.81396,585760.009765625,0.01735208813718753,2000000.0,0.01735208813718753,-0.0016256017471216744,2025-07
2025-07-07,1966095.8115185937,1379535.81396,586559.9975585938,0.016952094240703153,2000000.0,0.016952094240703153,0.00040705718869959995,2025-07
2025-07-08,1954615.70516,1954615.70516,0.0,0.022032080812968778,2000000.0,0.02269214742000005,-0.005839037086258103,2025-07
2025-07-09,1954615.70516,1954615.70516,0.0,0.02269214742000005,2000000.0,0.02269214742000005,0.0,2025-07
2025-07-10,1954615.70516,1954615.70516,0.0,0.02269214742000005,2000000.0,0.02269214742000005,0.0,2025-07
2025-07-11,1954615.70516,1954615.70516,0.0,0.02269214742000005,2000000.0,0.02269214742000005,0.0,2025-07
2025-07-14,1954428.27092,1368696.27092,585732.0,0.02269214742000005,2000000.0,0.02278586453999998,-9.589314129887505e-05,2025-07
2025-07-15,1996304.2848360157,1368696.27092,627608.0139160156,0.001847857581992168,2000000.0,0.001847857581992168,0.021426221948940283,2025-07
2025-07-16,1977456.2593233204,1368696.27092,608759.9884033203,0.011271870338339825,2000000.0,0.011271870338339825,-0.009441459228367921,2025-07
2025-07-17,1971148.2454073047,1368696.27092,602451.9744873047,0.014425877296347638,2000000.0,0.014425877296347638,-0.0031899638165318045,2025-07
2025-07-18,1948272.2871553516,1368696.27092,579576.0162353516,0.0258638564223242,2000000.0,0.0258638564223242,-0.011605397161402298,2025-07
2025-07-21,1959216.2477266407,1368696.27092,590519.9768066406,0.020391876136679667,2000000.0,0.020391876136679667,0.005617264405720412,2025-07
2025-07-22,1969096.27092,1368696.27092,600400.0,0.01545186453999998,2000000.0,0.01545186453999998,0.005042844660370527,2025-07
2025-07-23,1967272.2871553516,1368696.27092,598576.0162353516,0.0163638564223242,2000000.0,0.0163638564223242,-0.0009263050220476021,2025-07
2025-07-24,1959444.2964326954,1368696.27092,590748.0255126953,0.020277851783652323,2000000.0,0.020277851783652323,-0.003979108928523267,2025-07
2025-07-25,1976620.2546846485,1368696.27092,607923.9837646484,0.011689872657675762,2000000.0,0.011689872657675762,0.008765729285197477,2025-07
2025-07-28,1985360.2662813282,1368696.27092,616663.9953613281,0.007319866859335918,2000000.0,0.007319866859335918,0.004421694848044666,2025-07
2025-07-29,1990832.275558672,1368696.27092,622136.0046386719,0.004583862220664043,2000000.0,0.004583862220664043,0.0027561795056940674,2025-07
2025-07-30,1990376.2941133594,1368696.27092,621680.0231933594,0.004811852943320293,2000000.0,0.004811852943320293,-0.0002290406132704481,2025-07
2025-07-31,1961496.27092,1368696.27092,592800.0,0.01925186453999998,2000000.0,0.01925186453999998,-0.014509830768570486,2025-07
2025-08-01,1967956.2593233204,1368696.27092,599259.9884033203,0.016021870338339825,2000000.0,0.016021870338339825,0.003293398258815028,2025-08
2025-08-04,1971224.2616426563,1368696.27092,602527.9907226562,0.014387869178671856,2000000.0,0.014387869178671856,0.001660607192793817,2025-08
2025-08-05,1959672.2871553516,1368696.27092,590976.0162353516,0.0201638564223242,2000000.0,0.0201638564223242,-0.005860304538702343,2025-08
2025-08-06,1956176.2941133594,1368696.27092,587480.0231933594,0.021911852943320292,2000000.0,0.021911852943320292,-0.001783968199635555,2025-08
2025-08-07,1959824.2616426563,1368696.27092,591127.9907226562,0.020087869178671856,2000000.0,0.020087869178671856,0.0018648459958718888,2025-08
2025-08-08,1976620.2546846485,1368696.27092,607923.9837646484,0.011689872657675762,2000000.0,0.011689872657675762,0.0085701526257842,2025-08
2025-08-11,1975328.268600664,1368696.27092,606631.9976806641,0.01233586569966795,2000000.0,0.01233586569966795,-0.0006536339395097901,2025-08
2025-08-12,2014696.27092,1368696.27092,646000.0,0.0,2014696.27092,0.0,0.019929853151559707,2025-08
2025-08-13,2019104.2848360157,1368696.27092,650408.0139160156,0.0,2019104.2848360157,0.0,0.0021879297537998887,2025-08
2025-08-14,2019484.2500459766,1368696.27092,650787.9791259766,0.0,2019484.2500459766,0.0,0.0001881850347278391,2025-08
2025-08-15,2030276.2941133594,1368696.27092,661580.0231933594,0.0,2030276.2941133594,0.0,0.005343960502359524,2025-08
2025-08-18,2006944.2964326954,1368696.27092,638248.0255126953,0.01149203078827917,2030276.2941133594,0.01149203078827917,-0.011492030788279206,2025-08
2025-08-19,2001016.2477266407,1368696.27092,632319.9768066406,0.014411854421763263,2030276.2941133594,0.014411854421763263,-0.0029537684312372914,2025-08
2025-08-20,2015608.2917940235,1368696.27092,646912.0208740234,0.007224633593892988,2030276.2941133594,0.007224633593892988,0.007292316633590978,2025-08
2025-08-21,2010440.2894746875,1368696.27092,641744.0185546875,0.009770101092242937,2030276.2941133594,0.009770101092242937,-0.0025639913967292483,2025-08
2025-08-22,2008996.27092,1368696.27092,640300.0,0.01048134347776176,2030276.2941133594,0.01048134347776176,-0.0007182598569315246,2025-08
2025-08-25,2022144.2964326954,1368696.27092,653448.0255126953,0.004005365035410307,2030276.2941133594,0.004005365035410307,0.006544574374284018,2025-08
2025-08-26,2013708.2917940235,1368696.27092,645012.0208740234,0.008160466813001597,2030276.2941133594,0.008160466813001597,-0.004171811405127679,2025-08
2025-08-27,2012720.2546846485,1368696.27092,644023.9837646484,0.008647118364930633,2030276.2941133594,0.008647118364930633,-0.0004906555300989712,2025-08
