date,nav,cash,position_value,close,peak,drawdown,daily_return,month
2024-04-19,1999810.328,1407085.328,592725.0,169.18521118164062,1999810.328,0.0,,2024-04
2024-04-22,1956426.8196992187,1407085.328,549341.4916992188,156.9547119140625,1999810.328,-0.021693811504698485,-0.021693811504698512,2024-04
2024-04-23,1953478.1273774414,1407085.328,546392.7993774414,156.1122283935547,1999810.328,-0.023168297499941003,-0.0015071825289282303,2024-04
2024-04-24,1990804.0551118164,1407085.328,583718.7271118164,166.7767791748047,1999810.328,-0.00450356354404406,0.019107420355141347,2024-04
2024-04-25,1976511.9255952148,1407085.328,569426.5975952148,162.6933135986328,1999810.328,-0.01165030607081911,-0.007179073942462311,2024-04
2024-04-26,2048353.7300996094,1407085.328,641268.4020996094,183.21954345703125,2048353.7300996094,0.0,0.036347771836873655,2024-04
2024-04-29,2058205.544369629,1407085.328,651120.2163696289,186.0343475341797,2058205.544369629,0.0,0.00480962546910324,2024-04
2024-04-30,2053383.698361328,1407085.328,646298.3703613281,184.65667724609375,2058205.544369629,-0.0023427426971476643,-0.002342742697147626,2024-04
2024-05-07,1860016.6684,1860016.6684,0.0,125.15797424316406,2058205.544369629,-0.09629207175725908,-0.0941699450110769,2024-05
2024-05-08,1860016.6684,1860016.6684,0.0,123.7491455078125,2058205.544369629,-0.09629207175725908,0.0,2024-05
2024-05-09,1860016.6684,1860016.6684,0.0,122.60227966308594,2058205.544369629,-0.09629207175725908,0.0,2024-05
2024-05-10,1860016.6684,1860016.6684,0.0,121.20054626464844,2058205.544369629,-0.09629207175725908,0.0,2024-05
2024-05-13,1860016.6684,1860016.6684,0.0,121.44831848144531,2058205.544369629,-0.09629207175725908,0.0,2024-05
2024-05-14,1860016.6684,1860016.6684,0.0,117.11568450927734,2058205.544369629,-0.09629207175725908,0.0,2024-05
2024-05-15,1860016.6684,1860016.6684,0.0,118.06433868408203,2058205.544369629,-0.09629207175725908,0.0,2024-05
2024-05-16,1860016.6684,1860016.6684,0.0,120.70498657226562,2058205.544369629,-0.09629207175725908,0.0,2024-05
2024-05-17,1860016.6684,1860016.6684,0.0,120.7616195678711,2058205.544369629,-0.09629207175725908,0.0,2024-05
2024-05-20,1860016.6684,1860016.6684,0.0,125.20751953125,2058205.544369629,-0.09629207175725908,0.0,2024-05
