date,action,price,shares,reason,strength,price_gain,trend,pnl,pnl_pct
2025-07-11,BUY,53.85,6600,多数表决看多(2/3票买入),0.23262013663804232,0.009614746195998227,mixed,,
2025-08-15,BUY(加码),58.97,3300,盈利+6%加仓第1次,0.5,,,,
2025-08-22,BUY(加码),60.77,200,盈利+9%加仓第2次,0.5,,,,
2025-09-04,SELL,55.84,10100,多数表决看空(2/3票卖出),,,,1074.5411199999508,0.0032357048197593622
2025-09-19,BUY,65.4,9100,多数表决看多(3/3票买入),0.2419239968023478,0.1501295363729492,up,,
2025-11-20,SELL(止盈),70.33,9100,"移动止盈: 峰值84.70回吐74%盈利, 触发止盈(阈值70%, 盈利8%)",,,,44018.19603999995,0.07538226299694177
2025-12-24,BUY,74.85,4900,多数表决看多(2/3票买入),0.26770622771320113,0.0073479182196860456,mixed,,
2026-01-08,BUY(加码),86.06,2400,盈利+10%加仓第1次,0.5,,,,
2026-03-17,SELL,86.46,7300,多数表决看空(2/3票卖出),,,,57015.87144000002,0.10090370114545542
2026-04-21,BUY,87.43,2800,多数表决看多(2/3票买入),0.21889852663488546,-0.012736717585184304,down,,
2026-04-28,SELL,83.3,2800,多数表决看空(3/3票卖出),,,,-11871.876800000027,-0.047237790232185856
2026-05-06,BUY,90.04,4100,多数表决看多(3/3票买入),0.4312230751403694,0.029508534094402482,mixed,,
2026-05-13,BUY(加码),103.06,2000,盈利+9%加仓第1次,0.5,,,,
