date,action,price,shares,reason,strength,pnl,pnl_pct
2024-04-19,BUY,169.35,3500,多数表决看多(3/3票买入),0.39999999999999997,,
2024-05-06,SELL(止损),129.58,3500,"ATR止损: 亏损-23.41% >= -15.00% (ATR=11.87, 2.5×ATR=29.68)",,-139793.65959999996,-0.23483909064068487
2024-07-01,BUY,144.15,2300,多数表决看多(2/3票买入),0.4,,
2024-07-10,BUY(加码),156.71,1100,盈利+9%加仓第1次,0.5,,
2024-07-23,SELL(止损),129.98,3400,"ATR止损: 亏损-12.22% >= -11.10% (ATR=6.58, 2.5×ATR=16.45)",,-62577.35024000006,-0.12302203101249003
2024-09-30,BUY,154.05,2100,多数表决看多(2/3票买入),0.7,,
2024-10-10,SELL(止盈),161.54,2100,"移动止盈: 峰值184.68回吐75%盈利, 触发止盈(阈值70%, 盈利5%)",,15281.211119999993,0.04862057773450166
2024-10-11,BUY,158.81,3400,多数表决看多(3/3票买入),0.39999999999999997,,
2024-11-18,SELL(止损),131.06,3400,"ATR止损: 亏损-17.39% >= -13.86% (ATR=8.81, 2.5×ATR=22.02)",,-94938.19728000002,-0.17473710723506075
2025-01-22,BUY,131.31,2300,多数表决看多(2/3票买入),0.44999999999999996,,
2025-01-23,SELL,126.83,2300,多数表决看空(2/3票卖出),,-10689.05588,-0.03411773665372023
2025-05-16,BUY,97.32,3100,多数表决看多(2/3票买入),0.4,,
2025-05-19,SELL,94.59,3100,多数表决看空(2/3票卖出),,-8850.062280000013,-0.028051787916152794
2025-05-20,BUY,95.46,3200,多数表决看多(2/3票买入),0.4,,
2025-05-23,SELL,91.21,3200,多数表决看空(2/3票卖出),,-13985.271040000021,-0.04452126545149801
2025-06-04,BUY,96.79,5200,多数表决看多(2/3票买入),0.575,,
2026-02-04,SELL,558.78,5200,多数表决看空(3/3票卖出),,2398512.53408,4.773117057547267
2026-03-20,BUY,611.89,1200,多数表决看多(2/3票买入),0.35,,
2026-04-08,BUY(加码),688.01,500,盈利+12%加仓第1次,0.5,,
2026-04-09,BUY(加码),692.89,100,盈利+9%加仓第2次,0.5,,
