date,action,price,shares,reason,strength,price_gain,trend,pnl,pnl_pct
2024-04-26,BUY,1591.69,200,多数表决看多(2/3票买入),0.35,0.0164271142161834,mixed,,
2024-05-24,SELL,1558.45,200,多数表决看空(2/3票卖出),,,,-6336.4619140625,-0.019904824161936403
2024-10-08,BUY,1637.56,200,多数表决看多(2/3票买入),0.4,0.20849618240739107,mixed,,
2024-10-16,SELL(止损),1444.11,200,"ATR止损: 亏损-11.73% >= -10.34% (ATR=67.70, 2×ATR=135.41)",,,,-38401.3310546875,-0.1172516764414357
2024-11-07,BUY,1567.36,300,多数表决看多(3/3票买入),0.5166666666666667,0.12262279343206593,up,,
2024-11-22,SELL(止损),1430.18,300,"ATR止损: 亏损-8.66% >= -8.00% (ATR=34.78, 2×ATR=69.55)",,,,-40723.42968749994,-0.08660726675747749
2024-12-12,BUY,1488.15,400,多数表决看多(2/3票买入),0.35,0.028443085676581943,up,,
2024-12-13,SELL,1440.79,400,多数表决看空(2/3票卖出),,,,-18367.91015625,-0.03085695352661028
2024-12-17,BUY,1480.74,200,多数表决看多(2/3票买入),0.35,0.016808310353686164,mixed,,
2025-01-02,SELL,1433.46,200,多数表决看空(3/3票卖出),,,,-9169.8017578125,-0.03096357820350805
2025-02-28,BUY,1448.67,200,多数表决看多(2/3票买入),0.4,0.014011586573912311,mixed,,
2025-03-04,SELL,1416.22,200,多数表决看空(2/3票卖出),,,,-6206.119140625,-0.02142005819346371
2025-03-06,BUY,1453.68,200,多数表决看多(2/3票买入),0.4,0.01834543893256485,mixed,,
2025-03-17,BUY(加码),1580.98,100,盈利+4%加仓第1次,0.5,,,,
2025-04-07,SELL,1445.02,400,多数表决看空(2/3票卖出),,,,-28346.94140625,-0.04670530043934077
2025-05-06,BUY,1496.37,400,多数表决看多(2/3票买入),0.35,0.013595502153277705,up,,
2025-05-26,SELL,1493.67,400,多数表决看空(3/3票卖出),,,,-483.888671875,-0.0008084375386350909
2025-08-25,BUY,1466.85,400,多数表决看多(2/3票买入),0.7,0.0412922698461901,up,,
2025-09-22,SELL,1427.59,400,多数表决看空(2/3票卖出),,,,-15132.48046875,-0.025790776951886637
2025-11-19,BUY,1447.83,200,多数表决看多(2/3票买入),0.4,0.005944583197284511,mixed,,
2025-11-24,SELL,1426.26,200,多数表决看空(2/3票卖出),,,,-4027.71875,-0.013909501633479019
2026-01-05,BUY,1427.43,200,多数表决看多(2/3票买入),0.44999999999999996,0.006466874456887593,mixed,,
2026-01-08,SELL,1410.89,200,多数表决看空(2/3票卖出),,,,-3025.990234375,-0.010599434768692729
2026-01-29,BUY,1439.16,200,多数表决看多(2/3票买入),0.44999999999999996,0.02305670952616403,mixed,,
2026-03-03,SELL,1424.76,200,多数表决看空(2/3票卖出),,,,-2594.01171875,-0.009012242275876261
2026-03-17,BUY,1486.48,400,多数表决看多(2/3票买入),0.5,0.044850252097519,up,,
2026-03-23,SELL,1406.66,400,多数表决看空(2/3票卖出),,,,-31364.021484375,-0.05274881176399112
2026-04-07,BUY,1441.46,400,多数表决看多(2/3票买入),0.45,0.007750483189023181,up,,
2026-04-17,SELL,1405.83,400,多数表决看空(3/3票卖出),,,,-13688.00390625,-0.023739826124641015
