2026-07-04 01:00:59 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=20.42%
2026-07-04 01:01:26 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=20.42%
2026-07-04 01:11:07 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=20.42%
2026-07-04 01:18:46 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=20.42%
2026-07-04 01:37:36 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=20.10%
2026-07-04 01:37:38 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=22.45%
2026-07-04 02:29:44 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=20.19%
2026-07-04 02:29:46 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=20.92%
2026-07-04 02:32:23 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=20.19%
2026-07-04 02:33:57 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=20.19%
2026-07-04 02:33:59 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=20.10%
2026-07-04 02:34:02 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=20.91%
2026-07-04 02:34:04 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=20.42%
2026-07-04 02:34:06 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=20.92%
2026-07-04 02:34:07 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=22.45%
2026-07-04 02:35:30 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=20.19%
2026-07-04 02:35:32 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=20.10%
2026-07-04 02:35:36 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=20.91%
2026-07-04 02:35:37 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=20.42%
2026-07-04 02:35:39 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=20.92%
2026-07-04 02:35:41 | ERROR    | risk.manager:check_global_risk:64 | 触发最大回撤熔断! 回撤=22.45%
