date,symbol,side,system,price,shares,cash_after,reason,signal_date,signal_atr,is_forced_exit
2025-02-18,688008.SH,BUY,S1_25_20,73.566765,13500,1006550.72710175,donchian_breakout,2025-02-17,2.6770942171128915,
2025-02-20,300054.SZ,BUY,S1_25_20,29.87493,32300,41301.000030050054,donchian_breakout,2025-02-19,0.9121039832713949,
2025-03-03,300054.SZ,SELL,S1_25_20,28.52573,32300,961944.9741668501,exit_signal,2025-02-28,,False
2025-03-14,688008.SH,SELL,S1_25_20,74.72262,13500,1969893.33987085,exit_signal,2025-03-13,,False
2025-04-30,603986.SH,BUY,S1_25_20,126.40317,7700,996296.93954815,donchian_breakout,2025-04-29,5.378352193566437,
2025-05-09,300502.SZ,BUY,S1_25_20,53.956965,17700,40972.1475640001,donchian_breakout,2025-05-08,2.906556654855381,
2025-05-26,603986.SH,SELL,S1_25_20,114.932505,7700,925244.4518332002,exit_signal,2025-05-23,,False
2025-05-30,300394.SZ,BUY,S1_25_20,40.930454999999995,21600,40881.39448480029,donchian_breakout,2025-05-29,1.833610453428666,
2025-07-25,300394.SZ,SELL,S1_25_20,61.74911,21600,1373595.1458640003,exit_signal,2025-07-24,,False
2025-07-25,002409.SZ,BUY,S1_25_20,55.48773,23400,74792.73999940022,donchian_breakout,2025-07-24,1.031824735362504,
2025-08-27,300502.SZ,SELL,S1_25_20,206.83653,17700,3732870.515734601,exit_signal,2025-08-26,,False
2025-08-27,300394.SZ,BUY,S2_55_20,105.30262499999999,24300,1173249.072098351,donchian_breakout,2025-08-26,5.733965421055901,
2025-08-27,002409.SZ,BUY,S1_25_20,60.08002499999999,17800,103503.79976485134,pyramid_add,2025-08-26,1.4459808840455992,
2025-09-05,002409.SZ,SELL,S1_25_20,55.99199000000001,41200,2408528.2917744517,exit_signal,2025-09-04,,False
2025-09-05,300394.SZ,SELL,S2_55_20,125.647145,24300,5459311.334775652,exit_signal,2025-09-04,,False
2025-09-15,603986.SH,BUY,S2_55_20,193.32661499999998,14100,2732588.291694202,donchian_breakout,2025-09-12,9.104443937927641,
2025-09-19,002409.SZ,BUY,S2_55_20,63.91194,41000,111412.63483220199,donchian_breakout,2025-09-18,2.0105333280488016,
2025-10-15,603986.SH,SELL,S2_55_20,195.172365,14100,2861141.437055002,exit_signal,2025-10-14,,False
2025-10-15,002409.SZ,SELL,S2_55_20,76.39178500000001,41000,5990698.971507003,exit_signal,2025-10-14,,False
2025-10-27,300308.SZ,BUY,S2_55_20,503.63169,5900,3018380.5724157025,donchian_breakout,2025-10-24,31.77341904356954,
2025-10-28,603986.SH,BUY,S2_55_20,236.27808,12200,134923.21864290256,donchian_breakout,2025-10-27,13.462387995841658,
2025-11-17,603986.SH,SELL,S2_55_20,207.406245,12200,2663255.1226917026,exit_signal,2025-11-14,,False
2025-12-05,300394.SZ,BUY,S1_25_20,137.68881,18400,129020.97646050295,donchian_breakout,2025-12-04,8.81006130798514,
2025-12-15,300054.SZ,BUY,S1_25_20,37.168575,100,125299.11896050295,donchian_breakout,2025-12-12,1.4203666362387675,
2025-12-17,300394.SZ,SELL,S1_25_20,143.458235,18400,2762818.937741303,exit_signal,2025-12-16,,False
2025-12-18,300054.SZ,BUY,S1_25_20,37.778879999999994,69800,125062.02399410354,pyramid_add,2025-12-17,1.5196305947452131,
2026-01-30,300054.SZ,SELL,S1_25_20,43.308335,69900,3149892.8384009036,exit_signal,2026-01-29,,False
2026-02-02,300394.SZ,BUY,S2_55_20,178.19905500000002,16900,137425.33969205339,donchian_breakout,2026-01-30,10.031582081643883,
2026-02-09,300308.SZ,SELL,S2_55_20,560.05983,5900,3439134.8542944533,exit_signal,2026-02-06,,False
2026-03-09,300394.SZ,SELL,S2_55_20,218.63063000000002,16900,7131036.615176854,exit_signal,2026-03-06,,False
2026-03-20,300502.SZ,BUY,S1_25_20,334.016925,10600,3589395.0363553534,donchian_breakout,2026-03-19,19.451664830843868,
2026-03-23,300308.SZ,BUY,S1_25_20,589.904805,5800,166920.73299465328,donchian_breakout,2026-03-20,33.82914975303553,
2026-03-30,300054.SZ,BUY,S2_55_20,52.236104999999995,500,140794.84507890328,donchian_breakout,2026-03-27,2.567947651703091,
2026-04-27,300502.SZ,SELL,S1_25_20,391.72404000000006,10600,4289747.849219704,exit_signal,2026-04-24,,False
2026-04-27,300054.SZ,BUY,S2_55_20,57.158565,71700,190249.25798655348,pyramid_add,2026-04-24,2.5156696308546596,
2026-04-29,300054.SZ,BUY,S2_55_20,58.439204999999994,100,184400.33748655347,pyramid_add,2026-04-28,2.7636168418463303,
2026-06-01,300054.SZ,SELL,S2_55_20,67.89603500000001,72300,5089356.5613221545,exit_signal,2026-05-29,,False
2026-06-01,300394.SZ,BUY,S2_55_20,328.00391999999994,14700,266252.44003495574,donchian_breakout,2026-05-29,20.030803421708633,
2026-06-09,300308.SZ,SELL,S1_25_20,1140.399515,5800,6875278.173285356,exit_signal,2026-06-08,,False
2026-06-11,300394.SZ,SELL,S2_55_20,294.01292000000007,14700,11193810.505346157,exit_signal,2026-06-10,,False
2026-06-12,002409.SZ,BUY,S2_55_20,140.08000499999997,39900,5602941.548186308,donchian_breakout,2026-06-11,7.718327973432085,
2026-06-18,603986.SH,BUY,S2_55_20,594.2969999999999,9000,252663.94628630858,donchian_breakout,2026-06-17,32.04397357530514,
2026-06-18,300054.SZ,BUY,S2_55_20,90.64529999999999,200,234529.4475683086,donchian_breakout,2026-06-17,5.422932814216552,
